2023-04-20 16:28:07,503 INFO Experiment: universal_price_impact
2023-04-20 16:28:07,509 INFO Tickers: ['AAPL', 'MSFT', 'AMZN', 'FB', 'BRK.B', 'JPM', 'GOOG', 'GOOGL', 'JNJ', 'V', 'PG', 'XOM', 'BAC', 'T', 'UNH', 'DIS', 'MA', 'INTC', 'VZ', 'HD', 'MRK', 'CVX', 'WFC', 'PFE', 'KO', 'CMCSA', 'CSCO', 'PEP', 'BA', 'C', 'WMT', 'ADBE', 'MDT', 'ABT', 'MCD', 'BMY', 'AMGN', 'CRM', 'NVDA', 'PM', 'NFLX', 'ABBV', 'ACN', 'COST', 'PYPL', 'TMO', 'AVGO', 'HON', 'UNP', 'NKE', 'UTX', 'ORCL', 'IBM', 'TXN', 'NEE', 'LIN', 'SBUX', 'LLY', 'QCOM', 'MMM', 'GE', 'CVS', 'DHR', 'LMT', 'AMT', 'MO', 'LOW', 'USB', 'BKNG', 'AXP', 'FIS', 'GILD', 'UPS', 'CAT', 'MDLZ', 'CHTR', 'TFC', 'ANTM', 'GS', 'CI', 'TJX', 'ADP', 'BDX', 'CME', 'CB', 'PNC', 'COP', 'INTU', 'ISRG', 'D', 'SPGI', 'FISV', 'DUK', 'SYK', 'SO', 'TGT', 'MS', 'BSX', 'AGN', 'RTN']
2023-04-20 17:39:12,896 INFO Negative OS: -0.15738793355708336 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-04 --- time 36000
2023-04-20 17:39:13,669 INFO Negative OS: -0.12508958681626758 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-04 --- time 39600
2023-04-20 17:39:15,187 INFO Negative OS: -0.70869316955086 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-04 --- time 46800
2023-04-20 17:39:19,355 INFO Negative OS: -0.2775851427267926 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-05 --- time 36000
2023-04-20 17:39:25,774 INFO Negative OS: -0.7523924457319129 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-06 --- time 36000
2023-04-20 17:39:26,157 INFO Negative OS: -0.04862038354893894 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-06 --- time 37800
2023-04-20 17:39:28,019 INFO Negative OS: -0.19606162711214736 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-06 --- time 46800
2023-04-20 17:39:39,126 INFO Negative OS: -0.20945437784323073 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-10 --- time 37800
2023-04-20 17:39:39,529 INFO Negative OS: -1.2029473506303652 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-10 --- time 39600
2023-04-20 17:39:42,237 INFO Negative OS: -0.7674262047159643 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-10 --- time 52200
2023-04-20 17:40:01,641 INFO Negative OS: -1.2843537266077982 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-13 --- time 52200
2023-04-20 17:40:18,621 INFO Negative OS: -0.3198492185928561 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-18 --- time 41400
2023-04-20 17:40:51,940 INFO Negative OS: -0.005628184118132928 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-25 --- time 46800
2023-04-20 17:40:53,087 INFO Negative OS: -0.09408954979458395 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-09-25 --- time 52200
2023-04-20 17:41:16,101 INFO Negative OS: -0.10717825124312719 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-10-01 --- time 39600
2023-04-20 17:41:22,992 INFO Negative OS: -0.07244063477979035 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-10-02 --- time 41400
2023-04-20 17:41:29,841 INFO Negative OS: -0.1747220829194185 --- ticker AAPL, MSFT, AMZN, FB, BRK.B ... --- day 2019-10-03 --- time 43200
