2023-05-09 05:43:11,495 INFO Starting...
2023-05-09 05:43:11,495 INFO Tickers: ['JPM']
2023-05-09 05:44:36,181 INFO 10_10: 0.002395444136434856
2023-05-09 05:44:36,181 INFO 1_20: 0.0450614680004821
2023-05-09 05:44:36,181 INFO 2_20: 0.04309288497850629
2023-05-09 05:44:36,181 INFO 3_20: 0.050706078502269894
2023-05-09 05:44:36,181 INFO 4_20: 0.06073480374432526
2023-05-09 05:44:36,181 INFO 5_20: 0.04936523241332209
2023-05-09 05:44:36,181 INFO 6_20: 0.037372946044755134
2023-05-09 05:44:36,181 INFO 7_20: 0.02050439918042666
2023-05-09 05:44:36,181 INFO 8_20: 0.007899441565224378
2023-05-09 05:44:36,181 INFO 9_20: 0.0060011650797477
2023-05-09 05:44:36,181 INFO 10_20: 0.003716202643525772
2023-05-09 05:44:36,181 INFO 1_30: 0.055090193242537465
2023-05-09 05:44:36,181 INFO 2_30: 0.0581083524165361
2023-05-09 05:44:36,181 INFO 3_30: 0.06409445180989112
2023-05-09 05:44:36,181 INFO 4_30: 0.07112008356434052
2023-05-09 05:44:36,181 INFO 5_30: 0.05754087822907878
2023-05-09 05:44:36,181 INFO 6_30: 0.04406713269856575
2023-05-09 05:44:36,181 INFO 7_30: 0.026445301514603673
2023-05-09 05:44:36,181 INFO 8_30: 0.008712988630428669
2023-05-09 05:44:36,181 INFO 9_30: 0.006674099071953718
2023-05-09 05:44:36,181 INFO 10_30: 0.00495158892772488
2023-05-09 05:44:36,189 INFO Non empty regressions: 0.4848489413844361 --- 96547 / 199128
