2023-05-09 06:04:11,300 INFO Starting...
2023-05-09 06:04:11,301 INFO Tickers: ['CVX']
2023-05-09 06:05:34,120 INFO 5_3: 0.018776867140733598
2023-05-09 06:05:34,120 INFO 6_3: 0.016120284440159095
2023-05-09 06:05:34,120 INFO 7_3: 0.009019324253746333
2023-05-09 06:05:34,120 INFO 8_3: 0.004645253304407216
2023-05-09 06:05:34,120 INFO 9_3: 0.002741954923466313
2023-05-09 06:05:34,120 INFO 10_3: 0.0027871519826443295
2023-05-09 06:05:34,120 INFO 1_5: 0.01412659194086216
2023-05-09 06:05:34,120 INFO 2_5: 0.015206299465670323
2023-05-09 06:05:34,120 INFO 3_5: 0.02501908320276405
2023-05-09 06:05:34,121 INFO 4_5: 0.03315455385480696
2023-05-09 06:05:34,121 INFO 5_5: 0.02890603029207344
2023-05-09 06:05:34,121 INFO 6_5: 0.02180507010566068
2023-05-09 06:05:34,121 INFO 7_5: 0.012961512193162187
2023-05-09 06:05:34,121 INFO 8_5: 0.006945281427021815
2023-05-09 06:05:34,121 INFO 9_5: 0.004504640231408943
2023-05-09 06:05:34,121 INFO 10_5: 0.0034952392430999154
2023-05-09 06:05:34,121 INFO 1_10: 0.020398939375677955
2023-05-09 06:05:34,121 INFO 2_10: 0.02324133220842875
2023-05-09 06:05:34,121 INFO 3_10: 0.037468362058575386
2023-05-09 06:05:34,121 INFO 4_10: 0.052192559559680204
2023-05-09 06:05:34,121 INFO 5_10: 0.043474549033787314
2023-05-09 06:05:34,121 INFO 6_10: 0.030317182917520388
2023-05-09 06:05:34,121 INFO 7_10: 0.019223815837049536
2023-05-09 06:05:34,121 INFO 8_10: 0.010601221324976899
2023-05-09 06:05:34,121 INFO 9_10: 0.005790245470250291
2023-05-09 06:05:34,121 INFO 10_10: 0.004323851994696879
2023-05-09 06:05:34,121 INFO 1_20: 0.029649270820778596
2023-05-09 06:05:34,121 INFO 2_20: 0.03271764894941947
2023-05-09 06:05:34,121 INFO 3_20: 0.05253404845124744
2023-05-09 06:05:34,121 INFO 4_20: 0.06655518058736089
2023-05-09 06:05:34,121 INFO 5_20: 0.05693322887790768
2023-05-09 06:05:34,121 INFO 6_20: 0.03993411273150938
2023-05-09 06:05:34,121 INFO 7_20: 0.023547667831746416
2023-05-09 06:05:34,121 INFO 8_20: 0.014131613836326383
2023-05-09 06:05:34,121 INFO 9_20: 0.007286770318589048
2023-05-09 06:05:34,121 INFO 10_20: 0.006347675866779157
2023-05-09 06:05:34,121 INFO 1_30: 0.03591659636013017
2023-05-09 06:05:34,121 INFO 2_30: 0.039381704230444736
2023-05-09 06:05:34,121 INFO 3_30: 0.0638584227230726
2023-05-09 06:05:34,121 INFO 4_30: 0.07851231368767828
2023-05-09 06:05:34,121 INFO 5_30: 0.06466694789281266
2023-05-09 06:05:34,121 INFO 6_30: 0.04877767064400788
2023-05-09 06:05:34,121 INFO 7_30: 0.030337270499377286
2023-05-09 06:05:34,121 INFO 8_30: 0.017636896870354746
2023-05-09 06:05:34,121 INFO 9_30: 0.008868667389819614
2023-05-09 06:05:34,121 INFO 10_30: 0.007829135028725242
2023-05-09 06:05:34,129 INFO Non empty regressions: 0.4832369129404202 --- 96226 / 199128
