2023-05-09 06:50:33,127 INFO Starting...
2023-05-09 06:50:33,127 INFO Tickers: ['LLY']
2023-05-09 06:51:52,780 INFO 5: 0.17256237194166565
2023-05-09 06:51:52,780 INFO 10: 0.2565284641034912
2023-05-09 06:51:52,780 INFO 20: 0.3367632879353983
2023-05-09 06:51:52,780 INFO 30: 0.39525832630267965
2023-05-09 06:51:52,781 INFO Grouping by level:
2023-05-09 06:51:52,781 INFO 1: 0.19272026033506087
2023-05-09 06:51:52,781 INFO 2: 0.1828723233297176
2023-05-09 06:51:52,781 INFO 3: 0.22000924028765417
2023-05-09 06:51:52,781 INFO 4: 0.22825017074444579
2023-05-09 06:51:52,781 INFO 5: 0.19297637700373627
2023-05-09 06:51:52,781 INFO 6: 0.159836888835322
2023-05-09 06:51:52,781 INFO 7: 0.10133180667711222
2023-05-09 06:51:52,781 INFO 8: 0.06543027600337471
2023-05-09 06:51:52,781 INFO 9: 0.048009320637981606
2023-05-09 06:51:52,781 INFO 10: 0.04331887027439637
2023-05-09 06:51:52,781 INFO Grouping by level and horizont:
2023-05-09 06:51:52,781 INFO 1_1: 0.009019324253746333
2023-05-09 06:51:52,781 INFO 2_1: 0.0073269454823028405
2023-05-09 06:51:52,781 INFO 3_1: 0.00898919288096099
2023-05-09 06:51:52,781 INFO 4_1: 0.00975252099152304
2023-05-09 06:51:52,781 INFO 5_1: 0.009185046804065726
2023-05-09 06:51:52,781 INFO 6_1: 0.007331967377767064
2023-05-09 06:51:52,781 INFO 7_1: 0.004404202322124463
2023-05-09 06:51:52,781 INFO 8_1: 0.003389779438351211
2023-05-09 06:51:52,781 INFO 9_1: 0.002691735968824073
2023-05-09 06:51:52,781 INFO 10_1: 0.0026314732232533846
2023-05-09 06:51:52,781 INFO 1_2: 0.012936402715841067
2023-05-09 06:51:52,781 INFO 2_2: 0.010656462175083363
2023-05-09 06:51:52,781 INFO 3_2: 0.013092081475232012
2023-05-09 06:51:52,781 INFO 4_2: 0.01325278213008718
2023-05-09 06:51:52,781 INFO 5_2: 0.01280081153830702
2023-05-09 06:51:52,781 INFO 6_2: 0.009898155959985538
2023-05-09 06:51:52,781 INFO 7_2: 0.006593748744526134
