2023-05-09 07:13:31,678 INFO Starting...
2023-05-09 07:13:31,678 INFO Tickers: ['CHTR']
2023-05-09 07:14:50,674 INFO 5_5: 0.010998337694165859
2023-05-09 07:14:50,674 INFO 6_5: 0.008673118355170976
2023-05-09 07:14:50,674 INFO 7_5: 0.00667935576860301
2023-05-09 07:14:50,674 INFO 8_5: 0.005137579662617202
2023-05-09 07:14:50,674 INFO 9_5: 0.004082944541258833
2023-05-09 07:14:50,674 INFO 10_5: 0.005514235063102335
2023-05-09 07:14:50,674 INFO 1_10: 0.10060716850558203
2023-05-09 07:14:50,674 INFO 2_10: 0.03749981167229976
2023-05-09 07:14:50,674 INFO 3_10: 0.023915106894802658
2023-05-09 07:14:50,674 INFO 4_10: 0.01978194163347914
2023-05-09 07:14:50,674 INFO 5_10: 0.015734151596265587
2023-05-09 07:14:50,674 INFO 6_10: 0.012068039031543635
2023-05-09 07:14:50,674 INFO 7_10: 0.008904133667468525
2023-05-09 07:14:50,674 INFO 8_10: 0.0068902827928746845
2023-05-09 07:14:50,674 INFO 9_10: 0.00546401434303765
2023-05-09 07:14:50,674 INFO 10_10: 0.005956177399671556
2023-05-09 07:14:50,674 INFO 1_20: 0.12804776994892553
2023-05-09 07:14:50,674 INFO 2_20: 0.047935677301741156
2023-05-09 07:14:50,674 INFO 3_20: 0.029323878445769155
2023-05-09 07:14:50,674 INFO 4_20: 0.025617589304995456
2023-05-09 07:14:50,674 INFO 5_20: 0.02189623394820235
2023-05-09 07:14:50,674 INFO 6_20: 0.016387020957106483
2023-05-09 07:14:50,674 INFO 7_20: 0.01118917643041166
2023-05-09 07:14:50,674 INFO 8_20: 0.009446517444167114
2023-05-09 07:14:50,675 INFO 9_20: 0.008522456194976923
2023-05-09 07:14:50,675 INFO 10_20: 0.00894933231552674
2023-05-09 07:14:50,675 INFO 1_30: 0.14644361970861938
2023-05-09 07:14:50,675 INFO 2_30: 0.05589063935998714
2023-05-09 07:14:50,675 INFO 3_30: 0.036676191863238936
2023-05-09 07:14:50,675 INFO 4_30: 0.03228690092958553
2023-05-09 07:14:50,675 INFO 5_30: 0.025356441560659096
2023-05-09 07:14:50,675 INFO 6_30: 0.02064071594658524
2023-05-09 07:14:50,675 INFO 7_30: 0.01495573043526298
2023-05-09 07:14:50,675 INFO 8_30: 0.010671903013745411
2023-05-09 07:14:50,675 INFO 9_30: 0.008989508891578487
2023-05-09 07:14:50,675 INFO 10_30: 0.009381230508083024
2023-05-09 07:14:50,691 INFO Non empty regressions: 0.44728079911209767 --- 89063 / 199121
