2023-05-09 07:04:51,033 INFO Starting...
2023-05-09 07:04:51,033 INFO Tickers: ['BKNG']
2023-05-09 07:05:34,751 INFO used_ofi_10_30: 0.011965036694978148 , std 0.1087284442630629 
2023-05-09 07:05:35,133 INFO Grouping by horizont:
2023-05-09 07:05:35,134 INFO 1: 0.06389873835243672
2023-05-09 07:05:35,134 INFO 2: 0.09083862455677413
2023-05-09 07:05:35,134 INFO 3: 0.1185371485115857
2023-05-09 07:05:35,134 INFO 5: 0.1700997773563124
2023-05-09 07:05:35,134 INFO 10: 0.2447019048404387
2023-05-09 07:05:35,134 INFO 20: 0.30576399769110246
2023-05-09 07:05:35,134 INFO 30: 0.34727467634204673
2023-05-09 07:05:35,134 INFO Grouping by level:
2023-05-09 07:05:35,134 INFO 1: 0.7092685742557929
2023-05-09 07:05:35,134 INFO 2: 0.1581924630988703
2023-05-09 07:05:35,134 INFO 3: 0.1028201533767626
2023-05-09 07:05:35,134 INFO 4: 0.07428877710893048
2023-05-09 07:05:35,134 INFO 5: 0.057862620598664136
2023-05-09 07:05:35,134 INFO 6: 0.05002061515626288
2023-05-09 07:05:35,134 INFO 7: 0.04541931227838707
2023-05-09 07:05:35,134 INFO 8: 0.04109012946318133
2023-05-09 07:05:35,134 INFO 9: 0.045765646903603525
2023-05-09 07:05:35,134 INFO 10: 0.05638657541024162
2023-05-09 07:05:35,134 INFO Grouping by level and horizont:
2023-05-09 07:05:35,134 INFO 1_1: 0.02961985651851241
2023-05-09 07:05:35,134 INFO 2_1: 0.007025645254391029
2023-05-09 07:05:35,134 INFO 3_1: 0.004246722190154201
2023-05-09 07:05:35,134 INFO 4_1: 0.0037024820648140513
2023-05-09 07:05:35,134 INFO 5_1: 0.003084027376927517
2023-05-09 07:05:35,134 INFO 6_1: 0.0032407025645254392
2023-05-09 07:05:35,134 INFO 7_1: 0.002688216376680135
2023-05-09 07:05:35,134 INFO 8_1: 0.0032242104395151317
2023-05-09 07:05:35,134 INFO 9_1: 0.0029273521893295952
2023-05-09 07:05:35,134 INFO 10_1: 0.004139523377587202
2023-05-09 07:05:35,134 INFO 1_2: 0.04268986558918116
2023-05-09 07:05:35,134 INFO 2_2: 0.010431269069019544
2023-05-09 07:05:35,134 INFO 3_2: 0.007561639317226024
2023-05-09 07:05:35,134 INFO 4_2: 0.0048569308155355815
2023-05-09 07:05:35,134 INFO 5_2: 0.004106539127566587
2023-05-09 07:05:35,134 INFO 6_2: 0.0037354663148346664
2023-05-09 07:05:35,134 INFO 7_2: 0.003603529314752206
2023-05-09 07:05:35,134 INFO 8_2: 0.0038591572524119735
2023-05-09 07:05:35,134 INFO 9_2: 0.004296198565185124
2023-05-09 07:05:35,134 INFO 10_2: 0.005698029191061269
2023-05-09 07:05:35,134 INFO 1_3: 0.056584480910365303
2023-05-09 07:05:35,134 INFO 2_3: 0.013556526758472829
2023-05-09 07:05:35,134 INFO 3_3: 0.010447761194029851
2023-05-09 07:05:35,134 INFO 4_3: 0.0071823204419889505
2023-05-09 07:05:35,134 INFO 5_3: 0.005623814628514884
2023-05-09 07:05:35,134 INFO 6_3: 0.004955883565597427
2023-05-09 07:05:35,134 INFO 7_3: 0.004419889502762431
2023-05-09 07:05:35,135 INFO 8_3: 0.0042302300651438935
2023-05-09 07:05:35,135 INFO 9_3: 0.004757978065473736
2023-05-09 07:05:35,135 INFO 10_3: 0.0067782633792364145
2023-05-09 07:05:35,135 INFO 1_5: 0.089972787993733
2023-05-09 07:05:35,135 INFO 2_5: 0.019312278387070173
2023-05-09 07:05:35,135 INFO 3_5: 0.01168467056980292
2023-05-09 07:05:35,135 INFO 4_5: 0.009252082130782551
2023-05-09 07:05:35,135 INFO 5_5: 0.007957450317473407
2023-05-09 07:05:35,135 INFO 6_5: 0.005986641378741651
2023-05-09 07:05:35,135 INFO 7_5: 0.006398944503999341
2023-05-09 07:05:35,135 INFO 8_5: 0.0058547043786591904
2023-05-09 07:05:35,135 INFO 9_5: 0.006110332316318958
2023-05-09 07:05:35,135 INFO 10_5: 0.007569885379731178
2023-05-09 07:05:35,135 INFO 1_10: 0.13537560814710975
2023-05-09 07:05:35,135 INFO 2_10: 0.028391193205244497
2023-05-09 07:05:35,135 INFO 3_10: 0.017943432011214646
2023-05-09 07:05:35,135 INFO 4_10: 0.012245402820153376
2023-05-09 07:05:35,135 INFO 5_10: 0.01038179269398862
2023-05-09 07:05:35,135 INFO 6_10: 0.008312031005195019
2023-05-09 07:05:35,135 INFO 7_10: 0.008345015255215634
2023-05-09 07:05:35,135 INFO 8_10: 0.006827739754267337
2023-05-09 07:05:35,135 INFO 9_10: 0.00796569637997856
2023-05-09 07:05:35,135 INFO 10_10: 0.008913993568071247
2023-05-09 07:05:35,135 INFO 1_20: 0.16511090954069432
2023-05-09 07:05:35,135 INFO 2_20: 0.037750474148594046
2023-05-09 07:05:35,135 INFO 3_20: 0.023641461202275914
2023-05-09 07:05:35,135 INFO 4_20: 0.017333223385833263
2023-05-09 07:05:35,135 INFO 5_20: 0.011981528819988456
2023-05-09 07:05:35,135 INFO 6_20: 0.010934278881833924
2023-05-09 07:05:35,135 INFO 7_20: 0.009631401006019625
2023-05-09 07:05:35,135 INFO 8_20: 0.008394491630246557
2023-05-09 07:05:35,135 INFO 9_20: 0.00966438525604024
2023-05-09 07:05:35,135 INFO 10_20: 0.011321843819576152
2023-05-09 07:05:35,135 INFO 1_30: 0.18991506555619692
2023-05-09 07:05:35,135 INFO 2_30: 0.041725076276078174
2023-05-09 07:05:35,135 INFO 3_30: 0.02729446689205904
2023-05-09 07:05:35,135 INFO 4_30: 0.01971633544982271
2023-05-09 07:05:35,135 INFO 5_30: 0.014727467634204667
2023-05-09 07:05:35,135 INFO 6_30: 0.012855611445534758
2023-05-09 07:05:35,135 INFO 7_30: 0.010332316318957698
2023-05-09 07:05:35,135 INFO 8_30: 0.008699595942937248
2023-05-09 07:05:35,135 INFO 9_30: 0.010043704131277316
2023-05-09 07:05:35,135 INFO 10_30: 0.011965036694978148
2023-05-09 07:05:35,140 INFO Non empty regressions: 0.4388801847118001 --- 53223 / 121270
