2023-05-09 05:44:36,192 INFO Starting...
2023-05-09 05:44:36,192 INFO Tickers: ['GOOG']
2023-05-09 05:45:51,714 INFO 5_3: 0.005398537624040818
2023-05-09 05:45:51,714 INFO 6_3: 0.00538849383311237
2023-05-09 05:45:51,714 INFO 7_3: 0.005298099714756338
2023-05-09 05:45:51,714 INFO 8_3: 0.005835442529428307
2023-05-09 05:45:51,714 INFO 9_3: 0.00538849383311237
2023-05-09 05:45:51,714 INFO 10_3: 0.007969748101723514
2023-05-09 05:45:51,714 INFO 1_5: 0.08377526013418504
2023-05-09 05:45:51,714 INFO 2_5: 0.019409625969225824
2023-05-09 05:45:51,714 INFO 3_5: 0.010043790928448034
2023-05-09 05:45:51,714 INFO 4_5: 0.010119119360411395
2023-05-09 05:45:51,714 INFO 5_5: 0.008994214776425214
2023-05-09 05:45:51,714 INFO 6_5: 0.008240930456791612
2023-05-09 05:45:51,714 INFO 7_5: 0.007357076855088185
2023-05-09 05:45:51,714 INFO 8_5: 0.008145514442971355
2023-05-09 05:45:51,714 INFO 9_5: 0.00825097424772006
2023-05-09 05:45:51,714 INFO 10_5: 0.011264111526254469
2023-05-09 05:45:51,714 INFO 1_10: 0.11893857217468161
2023-05-09 05:45:51,714 INFO 2_10: 0.02560664497207826
2023-05-09 05:45:51,714 INFO 3_10: 0.015010445542565585
2023-05-09 05:45:51,714 INFO 4_10: 0.013649511871760877
2023-05-09 05:45:51,714 INFO 5_10: 0.012142943232493672
2023-05-09 05:45:51,714 INFO 6_10: 0.01138965891286007
2023-05-09 05:45:51,714 INFO 7_10: 0.010892491261901891
2023-05-09 05:45:51,714 INFO 8_10: 0.011640753686071271
2023-05-09 05:45:51,714 INFO 9_10: 0.01221324976899281
2023-05-09 05:45:51,714 INFO 10_10: 0.014879876260495762
2023-05-09 05:45:51,714 INFO 1_20: 0.15089791490900326
2023-05-09 05:45:51,714 INFO 2_20: 0.034123779679402194
2023-05-09 05:45:51,714 INFO 3_20: 0.021071873367883975
2023-05-09 05:45:51,714 INFO 4_20: 0.01738078020167932
2023-05-09 05:45:51,714 INFO 5_20: 0.01724016712868105
2023-05-09 05:45:51,714 INFO 6_20: 0.015834036398698324
2023-05-09 05:45:51,714 INFO 7_20: 0.015161102406492306
2023-05-09 05:45:51,714 INFO 8_20: 0.016175525290265558
2023-05-09 05:45:51,714 INFO 9_20: 0.016110240649230646
2023-05-09 05:45:51,714 INFO 10_20: 0.02146860310955767
2023-05-09 05:45:51,714 INFO 1_30: 0.17661504158129446
2023-05-09 05:45:51,714 INFO 2_30: 0.039381704230444736
2023-05-09 05:45:51,714 INFO 3_30: 0.023924309991563215
2023-05-09 05:45:51,714 INFO 4_30: 0.02047928970310554
2023-05-09 05:45:51,714 INFO 5_30: 0.02182013579205335
2023-05-09 05:45:51,714 INFO 6_30: 0.018309830862560765
2023-05-09 05:45:51,714 INFO 7_30: 0.01839018118998835
2023-05-09 05:45:51,714 INFO 8_30: 0.018058736089349565
2023-05-09 05:45:51,714 INFO 9_30: 0.01899280864569523
2023-05-09 05:45:51,714 INFO 10_30: 0.023638061950102447
2023-05-09 05:45:51,723 INFO Non empty regressions: 0.46061829576955526 --- 91722 / 199128
