2023-05-09 07:29:02,884 INFO Starting...
2023-05-09 07:29:02,884 INFO Tickers: ['ISRG']
2023-05-09 07:30:17,721 INFO 4: 0.08603582104549223
2023-05-09 07:30:17,721 INFO 5: 0.06475420131126126
2023-05-09 07:30:17,721 INFO 6: 0.051289909316988624
2023-05-09 07:30:17,721 INFO 7: 0.04156848953754176
2023-05-09 07:30:17,721 INFO 8: 0.035986837147378735
2023-05-09 07:30:17,721 INFO 9: 0.033414554497726644
2023-05-09 07:30:17,721 INFO 10: 0.04708483006355346
2023-05-09 07:30:17,721 INFO Grouping by level and horizont:
2023-05-09 07:30:17,721 INFO 1_1: 0.02758170263005853
2023-05-09 07:30:17,721 INFO 2_1: 0.009229068803536888
2023-05-09 07:30:17,721 INFO 3_1: 0.0056017483483634355
2023-05-09 07:30:17,721 INFO 4_1: 0.0038533999849280315
2023-05-09 07:30:17,721 INFO 5_1: 0.0030344896882614483
2023-05-09 07:30:17,721 INFO 6_1: 0.0025069707855007663
2023-05-09 07:30:17,721 INFO 7_1: 0.0024567308899997487
2023-05-09 07:30:17,721 INFO 8_1: 0.00193925996633927
2023-05-09 07:30:17,721 INFO 9_1: 0.0022155793915948655
2023-05-09 07:30:17,721 INFO 10_1: 0.00315506543746389
2023-05-09 07:30:17,721 INFO 1_2: 0.03872491145218418
2023-05-09 07:30:17,721 INFO 2_2: 0.013409028109221533
2023-05-09 07:30:17,721 INFO 3_2: 0.007731919917606572
2023-05-09 07:30:17,721 INFO 4_2: 0.005350548870858348
2023-05-09 07:30:17,721 INFO 5_2: 0.004441206762289935
2023-05-09 07:30:17,721 INFO 6_2: 0.0036976563088748776
2023-05-09 07:30:17,721 INFO 7_2: 0.003285689165766535
2023-05-09 07:30:17,722 INFO 8_2: 0.00277826622120626
2023-05-09 07:30:17,722 INFO 9_2: 0.003371096988118265
2023-05-09 07:30:17,722 INFO 10_2: 0.004360822929488307
2023-05-09 07:30:17,722 INFO 1_3: 0.052460498882162324
2023-05-09 07:30:17,722 INFO 2_3: 0.0173729558642518
2023-05-09 07:30:17,722 INFO 3_3: 0.009741515737647265
2023-05-09 07:30:17,722 INFO 4_3: 0.007505840387851993
2023-05-09 07:30:17,722 INFO 5_3: 0.005953427616870557
2023-05-09 07:30:17,722 INFO 6_3: 0.004571830490592579
2023-05-09 07:30:17,722 INFO 7_3: 0.0037026802984249795
2023-05-09 07:30:17,722 INFO 8_3: 0.003592152528322741
2023-05-09 07:30:17,722 INFO 9_3: 0.003195257353864704
2023-05-09 07:30:17,722 INFO 10_3: 0.005295284985807229
2023-05-09 07:30:17,722 INFO 1_5: 0.0798864578361677
2023-05-09 07:30:17,722 INFO 2_5: 0.02709437564369866
2023-05-09 07:30:17,722 INFO 3_5: 0.014840865131000528
2023-05-09 07:30:17,722 INFO 4_5: 0.010691049762616494
