2023-05-09 13:30:42,602 INFO Starting...
2023-05-09 13:30:42,602 INFO Tickers: ['UNH']
2023-05-09 13:32:17,941 INFO ofi_trade_4_20: -1.2121352267429763e-08 , std 1.25011189378597e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_5_20: -2.1859124806957847e-08 , std 1.5144425151436483e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_6_20: -2.052285462342627e-08 , std 1.3161024826712635e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_7_20: -2.2009334305996498e-08 , std 1.5176599112336767e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_8_20: -1.4771694626784408e-08 , std 1.2200696674091397e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_9_20: -2.1772478951307704e-08 , std 1.4293042976997217e-06 
2023-05-09 13:32:17,941 INFO ofi_trade_10_20: -2.206090540755489e-08 , std 1.387378028243716e-06 
2023-05-09 13:32:17,941 INFO ofi_add_1_30: -1.1289307328706691e-07 , std 2.7985490213980646e-06 
2023-05-09 13:32:17,941 INFO ofi_add_2_30: -2.6094140348418215e-07 , std 3.4749890147597427e-06 
2023-05-09 13:32:17,941 INFO ofi_add_3_30: -2.509349512040135e-07 , std 3.2622159845948626e-06 
2023-05-09 13:32:17,941 INFO ofi_add_4_30: -2.840500353544231e-07 , std 3.374580999136831e-06 
2023-05-09 13:32:17,941 INFO ofi_add_5_30: -3.219118330612218e-07 , std 3.2971734481857334e-06 
2023-05-09 13:32:17,941 INFO ofi_add_6_30: -3.1854177457404426e-07 , std 3.3181522979236127e-06 
2023-05-09 13:32:17,941 INFO ofi_add_7_30: -2.9099138091435043e-07 , std 3.1821179699412326e-06 
2023-05-09 13:32:17,941 INFO ofi_add_8_30: -2.6051740282812596e-07 , std 2.9573383302841613e-06 
2023-05-09 13:32:17,941 INFO ofi_add_9_30: -2.4604276594873606e-07 , std 2.9448659745154687e-06 
2023-05-09 13:32:17,941 INFO ofi_add_10_30: -3.291122548587485e-07 , std 3.4456102337766003e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_1_30: -3.3415307637303315e-08 , std 1.764896815609419e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_2_30: -9.719307334312179e-08 , std 2.4736394836711174e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_3_30: -8.721065573013886e-08 , std 2.3411402912227507e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_4_30: -1.2474599519339692e-07 , std 2.504664832027097e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_5_30: -1.3385999167385476e-07 , std 2.6208950603386023e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_6_30: -1.0694771567756635e-07 , std 2.3272717093872934e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_7_30: -1.3729718723688063e-07 , std 2.6264962612620856e-06 
2023-05-09 13:32:17,941 INFO ofi_cancel_8_30: -1.2903602320304938e-07 , std 2.4772057740599388e-06 
2023-05-09 13:32:17,942 INFO ofi_cancel_9_30: -1.392076252744323e-07 , std 2.652226243061525e-06 
2023-05-09 13:32:17,942 INFO ofi_cancel_10_30: -1.4684680444525321e-07 , std 2.8066130972870585e-06 
2023-05-09 13:32:17,942 INFO ofi_trade_1_30: -4.235888722317969e-09 , std 6.041602860520625e-07 
2023-05-09 13:32:17,942 INFO ofi_trade_2_30: -1.473169421185373e-09 , std 7.997741694438655e-07 
2023-05-09 13:32:17,942 INFO ofi_trade_3_30: -5.7442301049236286e-09 , std 1.2552015601070317e-06 
2023-05-09 13:32:17,942 INFO ofi_trade_4_30: -1.522846802076585e-08 , std 1.486820941339748e-06 
2023-05-09 13:32:17,942 INFO ofi_trade_5_30: -2.2399666284224842e-08 , std 1.4792704200999067e-06 
2023-05-09 13:32:17,942 INFO ofi_trade_6_30: -2.7671577362492374e-08 , std 1.5058370933780844e-06 
2023-05-09 13:32:17,942 INFO ofi_trade_7_30: -1.6926651053724e-08 , std 1.2241228680145868e-06 
2023-05-09 13:32:17,942 INFO ofi_trade_8_30: -2.3342998422901682e-08 , std 1.4434646090378455e-06 
2023-05-09 13:32:17,942 INFO ofi_trade_9_30: -2.501698899910704e-08 , std 1.5650297148273433e-06 
2023-05-09 13:32:17,942 INFO ofi_trade_10_30: -1.725078343696378e-08 , std 1.4767401900183115e-06 
2023-05-09 13:32:17,942 INFO used_intercept: 0.9873849985938693 , std 0.11160583831347734 
2023-05-09 13:32:17,942 INFO used_ofi_add_1_1: 0.0011349483749146278 , std 0.0336698718010762 
2023-05-09 13:32:17,942 INFO used_ofi_add_2_1: 0.0031487284560684585 , std 0.05602511905545942 
2023-05-09 13:32:17,942 INFO used_ofi_add_3_1: 0.00301313727853441 , std 0.0548092901092061 
2023-05-09 13:32:17,942 INFO used_ofi_add_4_1: 0.0037061588525973245 , std 0.0607653127956784 
2023-05-09 13:32:17,942 INFO used_ofi_add_5_1: 0.004805953959262384 , std 0.06915820100178888 
2023-05-09 13:32:17,942 INFO used_ofi_add_6_1: 0.006156843839138644 , std 0.07822363525865507 
2023-05-09 13:32:17,942 INFO used_ofi_add_7_1: 0.005760114097464947 , std 0.07567651672116742 
2023-05-09 13:32:17,942 INFO used_ofi_add_8_1: 0.005147442850829617 , std 0.07156079012229434 
2023-05-09 13:32:17,942 INFO used_ofi_add_9_1: 0.005905749065927443 , std 0.07662161048880231 
2023-05-09 13:32:17,942 INFO used_ofi_add_10_1: 0.0069703909043429355 , std 0.08319738310177544 
2023-05-09 13:32:17,942 INFO used_ofi_cancel_1_1: 0.000301313727853441 , std 0.01735577534686503 
2023-05-09 13:32:17,942 INFO used_ofi_cancel_2_1: 0.0017124663533003898 , std 0.04134650907016459 
2023-05-09 13:32:17,942 INFO used_ofi_cancel_3_1: 0.0014161745209111728 , std 0.03760543804607912 
2023-05-09 13:32:17,942 INFO used_ofi_cancel_4_1: 0.00176268530794263 , std 0.041947327071552395 
2023-05-09 13:32:17,942 INFO used_ofi_cancel_5_1: 0.002013780081153831 , std 0.04482995394754025 
2023-05-09 13:32:17,942 INFO used_ofi_cancel_6_1: 0.0025410791048973524 , std 0.05034502976342359 
2023-05-09 13:32:17,942 INFO used_ofi_cancel_7_1: 0.002154393154152103 , std 0.046365415390023694 
