2023-05-09 14:38:20,940 INFO Starting...
2023-05-09 14:38:20,940 INFO Tickers: ['MMM']
2023-05-09 14:39:53,676 INFO ofi_trade_6_30: -1.0694817945907171e-08 , std 1.0256024564918125e-06 
2023-05-09 14:39:53,676 INFO ofi_trade_7_30: -1.1765332099732652e-08 , std 8.552805506675475e-07 
2023-05-09 14:39:53,676 INFO ofi_trade_8_30: -1.1788886915949181e-08 , std 8.970813752370875e-07 
2023-05-09 14:39:53,676 INFO ofi_trade_9_30: -1.1882726463135591e-08 , std 7.505205814353605e-07 
2023-05-09 14:39:53,676 INFO ofi_trade_10_30: -9.523160713374169e-09 , std 7.792261564181063e-07 
2023-05-09 14:39:53,676 INFO used_intercept: 0.9849493792937206 , std 0.1217542587453724 
2023-05-09 14:39:53,676 INFO used_ofi_add_1_1: 0.001807882367120646 , std 0.042480747739032335 
2023-05-09 14:39:53,676 INFO used_ofi_add_2_1: 0.003394801333815435 , std 0.05816594070174883 
2023-05-09 14:39:53,676 INFO used_ofi_add_3_1: 0.0037312683299184444 , std 0.060970041549670874 
2023-05-09 14:39:53,676 INFO used_ofi_add_4_1: 0.004082801012414126 , std 0.06376622733318284 
2023-05-09 14:39:53,676 INFO used_ofi_add_5_1: 0.0049013699730826405 , std 0.0698380021583493 
2023-05-09 14:39:53,676 INFO used_ofi_add_6_1: 0.004183238921698606 , std 0.0645425397224388 
2023-05-09 14:39:53,676 INFO used_ofi_add_7_1: 0.005077136314330481 , std 0.07107291327345594 
2023-05-09 14:39:53,676 INFO used_ofi_add_8_1: 0.0046603189907998875 , std 0.06810727140110574 
2023-05-09 14:39:53,676 INFO used_ofi_add_9_1: 0.004976698405046001 , std 0.07036995721208882 
2023-05-09 14:39:53,676 INFO used_ofi_add_10_1: 0.005795267365714515 , std 0.07590574577641931 
2023-05-09 14:39:53,676 INFO used_ofi_cancel_1_1: 0.0004971676509581776 , std 0.022291713152761912 
2023-05-09 14:39:53,676 INFO used_ofi_cancel_2_1: 0.0017225101442288377 , std 0.041467373958714415 
2023-05-09 14:39:53,676 INFO used_ofi_cancel_3_1: 0.0015869189666947892 , std 0.03980453058243413 
2023-05-09 14:39:53,676 INFO used_ofi_cancel_4_1: 0.002013780081153831 , std 0.044829953947540246 
2023-05-09 14:39:53,676 INFO used_ofi_cancel_5_1: 0.0019032983809409024 , std 0.04358527086314836 
2023-05-09 14:39:53,676 INFO used_ofi_cancel_6_1: 0.002053955244867623 , std 0.04527401586693745 
2023-05-09 14:39:53,676 INFO used_ofi_cancel_7_1: 0.002480816359326664 , std 0.049745973802087354 
2023-05-09 14:39:53,676 INFO used_ofi_cancel_8_1: 0.0022246996906512394 , std 0.04711422717118105 
2023-05-09 14:39:53,676 INFO used_ofi_cancel_9_1: 0.002194568317865895 , std 0.046794788040593935 
2023-05-09 14:39:53,676 INFO used_ofi_cancel_10_1: 0.002199590213330119 , std 0.04684818050067197 
2023-05-09 14:39:53,676 INFO used_ofi_trade_1_1: 9.03941183560323e-05 , std 0.009507152426431322 
2023-05-09 14:39:53,676 INFO used_ofi_trade_2_1: 7.030653649913623e-05 , std 0.00838460455179979 
2023-05-09 14:39:53,676 INFO used_ofi_trade_3_1: 8.035032742758427e-05 , std 0.008963474284699353 
2023-05-09 14:39:53,676 INFO used_ofi_trade_4_1: 0.00011550359567715239 , std 0.01074663922333573 
2023-05-09 14:39:53,676 INFO used_ofi_trade_5_1: 0.00010545980474870436 , std 0.010268820914705188 
2023-05-09 14:39:53,676 INFO used_ofi_trade_6_1: 0.00013056928206982442 , std 0.011425945638432041 
2023-05-09 14:39:53,677 INFO used_ofi_trade_7_1: 0.00020087581856896068 , std 0.014171643076033026 
2023-05-09 14:39:53,677 INFO used_ofi_trade_8_1: 0.00015567875939094452 , std 0.012476158203342042 
2023-05-09 14:39:53,677 INFO used_ofi_trade_9_1: 0.00014563496846249649 , std 0.012067052619362249 
