2023-05-09 15:02:25,297 INFO Starting...
2023-05-09 15:02:25,297 INFO Tickers: ['CHTR']
2023-05-09 15:04:03,137 INFO ofi_cancel_5_10: -3.859998032866366e-08 , std 1.765037431210474e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_6_10: -4.740287486943264e-08 , std 2.054024483695662e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_7_10: -3.300825182102729e-08 , std 1.5603718098293743e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_8_10: -4.3034635233345296e-08 , std 1.4783849809988169e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_9_10: -4.578064856756995e-08 , std 1.8229490486311505e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_10_10: -8.544035071261332e-08 , std 2.191654587557679e-06 
2023-05-09 15:04:03,137 INFO ofi_trade_1_10: -1.931607186039468e-08 , std 1.586016805110407e-06 
2023-05-09 15:04:03,137 INFO ofi_trade_2_10: -7.621646575712436e-09 , std 1.6619609237026803e-06 
2023-05-09 15:04:03,137 INFO ofi_trade_3_10: -3.6335976484837593e-09 , std 4.58306708025391e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_4_10: -3.510967584784141e-09 , std 8.349430971447544e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_5_10: -7.057549167026748e-10 , std 2.612009381111143e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_6_10: -6.003014944894674e-09 , std 7.49524652893242e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_7_10: -2.4663999397727233e-09 , std 5.969753383871831e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_8_10: -1.2038483638739745e-09 , std 2.3554730736701732e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_9_10: -3.82532635403128e-09 , std 7.407261845511027e-07 
2023-05-09 15:04:03,137 INFO ofi_trade_10_10: -3.7706615445426395e-09 , std 4.148080366016217e-07 
2023-05-09 15:04:03,137 INFO ofi_add_1_20: -1.4297602335063757e-07 , std 2.642419915043156e-06 
2023-05-09 15:04:03,137 INFO ofi_add_2_20: -2.117685376104261e-07 , std 2.7234774465748342e-06 
2023-05-09 15:04:03,137 INFO ofi_add_3_20: -1.7607616201905575e-07 , std 2.400599927674854e-06 
2023-05-09 15:04:03,137 INFO ofi_add_4_20: -1.8556150813673533e-07 , std 2.6630482835188658e-06 
2023-05-09 15:04:03,137 INFO ofi_add_5_20: -1.7118758960876158e-07 , std 2.694639596708898e-06 
2023-05-09 15:04:03,137 INFO ofi_add_6_20: -1.7418095862263968e-07 , std 2.4935425745489375e-06 
2023-05-09 15:04:03,137 INFO ofi_add_7_20: -1.2008900567545822e-07 , std 2.12654002304781e-06 
2023-05-09 15:04:03,137 INFO ofi_add_8_20: -9.382296697549181e-08 , std 2.313468814082588e-06 
2023-05-09 15:04:03,137 INFO ofi_add_9_20: -8.86335479839285e-08 , std 2.112483208106149e-06 
2023-05-09 15:04:03,137 INFO ofi_add_10_20: -7.470227984902649e-08 , std 2.8078764300455798e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_1_20: -2.225427600176835e-08 , std 1.1733873874107796e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_2_20: -5.241203478075904e-08 , std 1.8449704389160408e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_3_20: -4.419991902883791e-08 , std 2.02903003560065e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_4_20: -5.81360283635872e-08 , std 2.103978013241572e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_5_20: -4.402308751034874e-08 , std 1.737773230563003e-06 
2023-05-09 15:04:03,137 INFO ofi_cancel_6_20: -4.241299383829927e-08 , std 1.8768141484260273e-06 
2023-05-09 15:04:03,138 INFO ofi_cancel_7_20: -4.880838231308334e-08 , std 1.976807273283742e-06 
2023-05-09 15:04:03,138 INFO ofi_cancel_8_20: -4.7670892858829525e-08 , std 1.9361454633190598e-06 
