2023-05-09 13:15:11,257 INFO Starting...
2023-05-09 13:15:11,257 INFO Tickers: ['BRK.B']
2023-05-09 13:16:45,763 INFO ofi_trade_6_30: -3.62784082824327e-09 , std 5.266663925770729e-07 
2023-05-09 13:16:45,764 INFO ofi_trade_7_30: -3.554318565762038e-09 , std 5.903894951239803e-07 
2023-05-09 13:16:45,764 INFO ofi_trade_8_30: -2.4541253335299277e-09 , std 3.593079076644259e-07 
2023-05-09 13:16:45,764 INFO ofi_trade_9_30: -3.6448434076176476e-09 , std 7.054250296886719e-07 
2023-05-09 13:16:45,764 INFO ofi_trade_10_30: -1.809949810619139e-09 , std 4.0670524592836535e-07 
2023-05-09 13:16:45,764 INFO used_intercept: 0.9849443573982564 , std 0.12177425929806415 
2023-05-09 13:16:45,764 INFO used_ofi_add_1_1: 0.002445663091077096 , std 0.04939313538460622 
2023-05-09 13:16:45,764 INFO used_ofi_add_2_1: 0.0033244947973162992 , std 0.057562509775538055 
2023-05-09 13:16:45,764 INFO used_ofi_add_3_1: 0.003540436302277932 , std 0.059396141398810116 
2023-05-09 13:16:45,764 INFO used_ofi_add_4_1: 0.0049365232413322085 , std 0.07008676037326876 
2023-05-09 13:16:45,764 INFO used_ofi_add_5_1: 0.005107267687115825 , std 0.07128242072129683 
2023-05-09 13:16:45,764 INFO used_ofi_add_6_1: 0.0055692820698244345 , std 0.07441952141105966 
2023-05-09 13:16:45,764 INFO used_ofi_add_7_1: 0.0047758225864770396 , std 0.06894210690934485 
2023-05-09 13:16:45,764 INFO used_ofi_add_8_1: 0.005232815073721426 , std 0.07214868481216868 
2023-05-09 13:16:45,764 INFO used_ofi_add_9_1: 0.004173195130770158 , std 0.06446533621389618 
2023-05-09 13:16:45,764 INFO used_ofi_add_10_1: 0.004323851994696879 , std 0.0656136898720445 
2023-05-09 13:16:45,764 INFO used_ofi_cancel_1_1: 0.0005423647101361938 , std 0.023282408609450023 
2023-05-09 13:16:45,764 INFO used_ofi_cancel_2_1: 0.002164436945080551 , std 0.04647313372036925 
2023-05-09 13:16:45,764 INFO used_ofi_cancel_3_1: 0.0022899843316861518 , std 0.04779895713764876 
2023-05-09 13:16:45,764 INFO used_ofi_cancel_4_1: 0.0027871519826443295 , std 0.05271986121444148 
2023-05-09 13:16:45,764 INFO used_ofi_cancel_5_1: 0.002751998714394761 , std 0.05238726197722812 
2023-05-09 13:16:45,764 INFO used_ofi_cancel_6_1: 0.0027771081917158814 , std 0.052625049755866134 
2023-05-09 13:16:45,764 INFO used_ofi_cancel_7_1: 0.002063999035796071 , std 0.04538434690260845 
2023-05-09 13:16:45,764 INFO used_ofi_cancel_8_1: 0.0025762323731469204 , std 0.05069117674612092 
2023-05-09 13:16:45,764 INFO used_ofi_cancel_9_1: 0.0022196777951870154 , std 0.047061139230500676 
2023-05-09 13:16:45,764 INFO used_ofi_cancel_10_1: 0.0023050500180788235 , std 0.047955570713869924 
2023-05-09 13:16:45,764 INFO used_ofi_trade_1_1: 1.506568639267205e-05 , std 0.003881424921052263 
2023-05-09 13:16:45,764 INFO used_ofi_trade_2_1: 1.506568639267205e-05 , std 0.0038814249210522627 
2023-05-09 13:16:45,764 INFO used_ofi_trade_3_1: 5.021895464224017e-06 , std 0.002240952976925211 
2023-05-09 13:16:45,764 INFO used_ofi_trade_4_1: 3.01313727853441e-05 , std 0.005489122414896408 
2023-05-09 13:16:45,764 INFO used_ofi_trade_5_1: 9.541601382025632e-05 , std 0.00976764606261729 
2023-05-09 13:16:45,764 INFO used_ofi_trade_6_1: 6.02627455706882e-05 , std 0.007762674408487351 
2023-05-09 13:16:45,764 INFO used_ofi_trade_7_1: 6.02627455706882e-05 , std 0.007762674408487351 
2023-05-09 13:16:45,764 INFO used_ofi_trade_8_1: 3.01313727853441e-05 , std 0.005489122414896408 
