2023-05-09 14:46:10,021 INFO Starting...
2023-05-09 14:46:10,021 INFO Tickers: ['AMT']
2023-05-09 14:47:44,142 INFO ofi_cancel_7_20: -6.614009493832147e-08 , std 2.5558822912314e-06 
2023-05-09 14:47:44,142 INFO ofi_cancel_8_20: -7.341959352417198e-08 , std 2.5313812400050743e-06 
2023-05-09 14:47:44,142 INFO ofi_cancel_9_20: -7.056135464188734e-08 , std 2.3105899910781695e-06 
2023-05-09 14:47:44,142 INFO ofi_cancel_10_20: -9.87465984877391e-08 , std 3.1074767166628627e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_1_20: -2.2747068552407277e-08 , std 1.6575574218581346e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_2_20: -1.6731543977210884e-08 , std 1.541884320820286e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_3_20: -1.9462856949015665e-08 , std 1.6478396624883645e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_4_20: -1.5388487842461036e-08 , std 1.3257421705504036e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_5_20: -2.3944457827950793e-08 , std 1.4930076608844104e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_6_20: -8.788865566601162e-09 , std 1.2012633088277436e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_7_20: -7.325661397132074e-09 , std 7.781865828263827e-07 
2023-05-09 14:47:44,142 INFO ofi_trade_8_20: -1.885597286331129e-08 , std 1.5535694677819985e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_9_20: -1.5760821472616304e-08 , std 1.1432993959082567e-06 
2023-05-09 14:47:44,142 INFO ofi_trade_10_20: -1.4319365664894044e-08 , std 1.1945253204343042e-06 
2023-05-09 14:47:44,142 INFO ofi_add_1_30: -2.0705114094625753e-07 , std 3.9004544385877454e-06 
2023-05-09 14:47:44,142 INFO ofi_add_2_30: -3.9181615315474423e-07 , std 4.487990477662624e-06 
2023-05-09 14:47:44,142 INFO ofi_add_3_30: -3.951067416260793e-07 , std 4.60393714488926e-06 
2023-05-09 14:47:44,142 INFO ofi_add_4_30: -3.7674365146175073e-07 , std 4.046425336677459e-06 
2023-05-09 14:47:44,142 INFO ofi_add_5_30: -3.911974874765033e-07 , std 4.189782523538889e-06 
2023-05-09 14:47:44,142 INFO ofi_add_6_30: -3.189751831963285e-07 , std 3.9633498079130665e-06 
2023-05-09 14:47:44,142 INFO ofi_add_7_30: -2.2582233248262437e-07 , std 3.3670882743027448e-06 
2023-05-09 14:47:44,142 INFO ofi_add_8_30: -1.9515657324587822e-07 , std 3.2672005422448847e-06 
2023-05-09 14:47:44,142 INFO ofi_add_9_30: -1.857310429079495e-07 , std 3.4086500954694257e-06 
