2023-05-09 13:45:50,578 INFO Starting...
2023-05-09 13:45:50,578 INFO Tickers: ['KO']
2023-05-09 13:47:12,659 INFO ofi_cancel_3_30: -2.2301132213878147e-07 , std 5.050644311048697e-06 
2023-05-09 13:47:12,659 INFO ofi_cancel_4_30: -2.482853806208271e-07 , std 5.38324900111352e-06 
2023-05-09 13:47:12,659 INFO ofi_cancel_5_30: -4.23744994996509e-08 , std 3.442485035984178e-06 
2023-05-09 13:47:12,659 INFO ofi_cancel_6_30: -6.125345021454124e-09 , std 8.557660275216586e-07 
2023-05-09 13:47:12,659 INFO ofi_cancel_7_30: -1.1987299004509652e-08 , std 1.2412069814588643e-06 
2023-05-09 13:47:12,659 INFO ofi_cancel_8_30: -2.2996226500160605e-09 , std 1.9355365334059624e-06 
2023-05-09 13:47:12,659 INFO ofi_cancel_9_30: -4.6542440757092275e-09 , std 5.06084268435325e-07 
2023-05-09 13:47:12,659 INFO ofi_cancel_10_30: -2.7735792289299144e-09 , std 4.0913954302579867e-07 
2023-05-09 13:47:12,659 INFO ofi_trade_1_30: 0.0 , std 0.0 
2023-05-09 13:47:12,659 INFO ofi_trade_2_30: -2.7580420644970582e-08 , std 2.501353409000907e-06 
2023-05-09 13:47:12,659 INFO ofi_trade_3_30: -7.121602759638732e-08 , std 3.1981427204618065e-06 
2023-05-09 13:47:12,659 INFO ofi_trade_4_30: -1.0107092944911252e-07 , std 4.077335000954736e-06 
2023-05-09 13:47:12,659 INFO ofi_trade_5_30: -1.1557355990869059e-08 , std 2.156136182619059e-06 
2023-05-09 13:47:12,659 INFO ofi_trade_6_30: -1.0256602520658253e-08 , std 1.3983349761436668e-06 
2023-05-09 13:47:12,659 INFO ofi_trade_7_30: -2.8574293238108947e-09 , std 6.787529540317008e-07 
2023-05-09 13:47:12,659 INFO ofi_trade_8_30: -1.8460356395824942e-09 , std 7.050886107624192e-07 
2023-05-09 13:47:12,659 INFO ofi_trade_9_30: -5.8065328210464595e-09 , std 9.323921252319162e-07 
2023-05-09 13:47:12,659 INFO ofi_trade_10_30: -1.745741532539276e-09 , std 1.1570486670966087e-06 
2023-05-09 13:47:12,659 INFO used_intercept: 0.972383793938298 , std 0.16387053189777467 
2023-05-09 13:47:12,659 INFO used_ofi_add_1_1: 0.028475131350270737 , std 0.16632587966054943 
2023-05-09 13:47:12,659 INFO used_ofi_add_2_1: 0.0035612750268728087 , std 0.05957006250673052 
