2023-05-09 14:23:58,709 INFO Starting...
2023-05-09 14:23:58,709 INFO Tickers: ['NKE']
2023-05-09 14:25:27,672 INFO used_ofi_cancel_4_1: 0.0034098670202081073 , std 0.05829442363650751 
2023-05-09 14:25:27,672 INFO used_ofi_cancel_5_1: 0.0030934876059619944 , std 0.05553303467661167 
2023-05-09 14:25:27,672 INFO used_ofi_cancel_6_1: 0.0015618094893736691 , std 0.03948886223345226 
2023-05-09 14:25:27,672 INFO used_ofi_cancel_7_1: 0.0007733719014904986 , std 0.027798809280119963 
2023-05-09 14:25:27,672 INFO used_ofi_cancel_8_1: 0.000617693142099554 , std 0.024845756122158114 
2023-05-09 14:25:27,672 INFO used_ofi_cancel_9_1: 0.0005122333373508497 , std 0.022626775164812065 
2023-05-09 14:25:27,672 INFO used_ofi_cancel_10_1: 0.0006930215740629143 , std 0.026316179342009312 
2023-05-09 14:25:27,672 INFO used_ofi_trade_1_1: 3.01313727853441e-05 , std 0.005489122414896408 
2023-05-09 14:25:27,672 INFO used_ofi_trade_2_1: 0.00021594150496163271 , std 0.014693361570044746 
2023-05-09 14:25:27,672 INFO used_ofi_trade_3_1: 0.0004821019645655056 , std 0.021951527105449134 
2023-05-09 14:25:27,672 INFO used_ofi_trade_4_1: 0.0007432405287051545 , std 0.027252304897414547 
2023-05-09 14:25:27,672 INFO used_ofi_trade_5_1: 0.000592583664778434 , std 0.024335827690437642 
2023-05-09 14:25:27,672 INFO used_ofi_trade_6_1: 0.0003967297416736973 , std 0.019914124313807242 
2023-05-09 14:25:27,672 INFO used_ofi_trade_7_1: 8.035032742758427e-05 , std 0.008963474284699353 
2023-05-09 14:25:27,672 INFO used_ofi_trade_8_1: 0.00019585392310473665 , std 0.013993411462025306 
2023-05-09 14:25:27,672 INFO used_ofi_trade_9_1: 6.02627455706882e-05 , std 0.0077626744084873505 
