2023-05-09 14:17:40,384 INFO Starting...
2023-05-09 14:17:40,384 INFO Tickers: ['TMO']
2023-05-09 14:19:14,489 INFO used_ofi_add_1_1: 0.0024255755092202 , std 0.04919036585215922 
2023-05-09 14:19:14,489 INFO used_ofi_add_2_1: 0.004916435659475312 , std 0.06994472331692757 
2023-05-09 14:19:14,489 INFO used_ofi_add_3_1: 0.004117954280663694 , std 0.06403902508007175 
2023-05-09 14:19:14,489 INFO used_ofi_add_4_1: 0.0034651078703145715 , std 0.058763091288338926 
2023-05-09 14:19:14,489 INFO used_ofi_add_5_1: 0.004052669639628781 , std 0.06353145290657858 
2023-05-09 14:19:14,489 INFO used_ofi_add_6_1: 0.0036961150616688764 , std 0.060683224989446484 
2023-05-09 14:19:14,489 INFO used_ofi_add_7_1: 0.003866859507452493 , std 0.062063732606105114 
2023-05-09 14:19:14,489 INFO used_ofi_add_8_1: 0.0034801735567072437 , std 0.058890253427222046 
2023-05-09 14:19:14,489 INFO used_ofi_add_9_1: 0.004052669639628781 , std 0.06353145290657859 
2023-05-09 14:19:14,489 INFO used_ofi_add_10_1: 0.005644610501787795 , std 0.07491828130750798 
2023-05-09 14:19:14,489 INFO used_ofi_cancel_1_1: 0.000607649351171106 , std 0.024643054060670466 
2023-05-09 14:19:14,489 INFO used_ofi_cancel_2_1: 0.001486481057410309 , std 0.03852624341246196 
2023-05-09 14:19:14,489 INFO used_ofi_cancel_3_1: 0.0015216343256598771 , std 0.03897844217819448 
2023-05-09 14:19:14,489 INFO used_ofi_cancel_4_1: 0.0015467438029809972 , std 0.039298236431027506 
2023-05-09 14:19:14,489 INFO used_ofi_cancel_5_1: 0.001501546743802981 , std 0.038720693449099744 
2023-05-09 14:19:14,489 INFO used_ofi_cancel_6_1: 0.0019032983809409024 , std 0.04358527086314836 
2023-05-09 14:19:14,489 INFO used_ofi_cancel_7_1: 0.0019736049174400388 , std 0.04438141278812443 
2023-05-09 14:19:14,489 INFO used_ofi_cancel_8_1: 0.0019384516491904704 , std 0.04398515720551901 
2023-05-09 14:19:14,489 INFO used_ofi_cancel_9_1: 0.002651560805110281 , std 0.051424994218833744 
2023-05-09 14:19:14,489 INFO used_ofi_cancel_10_1: 0.00362580852516974 , std 0.06010542436177077 
2023-05-09 14:19:14,489 INFO used_ofi_trade_1_1: 0.00011048170021292837 , std 0.010510446898531306 
2023-05-09 14:19:14,489 INFO used_ofi_trade_2_1: 9.03941183560323e-05 , std 0.009507152426431322 
2023-05-09 14:19:14,489 INFO used_ofi_trade_3_1: 0.00013056928206982442 , std 0.011425945638432041 
2023-05-09 14:19:14,489 INFO used_ofi_trade_4_1: 4.519705917801615e-05 , std 0.006722723882761945 
2023-05-09 14:19:14,489 INFO used_ofi_trade_5_1: 4.017516371379214e-05 , std 0.006338260776428553 
2023-05-09 14:19:14,489 INFO used_ofi_trade_6_1: 6.02627455706882e-05 , std 0.007762674408487351 
2023-05-09 14:19:14,489 INFO used_ofi_trade_7_1: 7.532843196336024e-05 , std 0.008678868451053869 
2023-05-09 14:19:14,489 INFO used_ofi_trade_8_1: 8.035032742758427e-05 , std 0.008963474284699353 
2023-05-09 14:19:14,489 INFO used_ofi_trade_9_1: 0.0001205254911413764 , std 0.01097774861924618 
