2023-05-09 14:47:44,843 INFO Starting...
2023-05-09 14:47:44,843 INFO Tickers: ['MO']
2023-05-09 14:49:15,526 INFO ofi_trade_5_30: -1.1736833659308341e-07 , std 4.131703532833728e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_6_30: -6.63664793123751e-08 , std 3.3829978595455617e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_7_30: -4.331973792057577e-08 , std 2.655643259885675e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_8_30: -4.0483559258689377e-08 , std 2.5095516116953166e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_9_30: -3.329918947880841e-08 , std 2.8125781755808885e-06 
2023-05-09 14:49:15,526 INFO ofi_trade_10_30: -3.093558004374871e-08 , std 1.9283957370075082e-06 
2023-05-09 14:49:15,526 INFO used_intercept: 0.9855520067494276 , std 0.1193283233000611 
2023-05-09 14:49:15,526 INFO used_ofi_add_1_1: 0.020343698525571493 , std 0.141173058534099 
2023-05-09 14:49:15,526 INFO used_ofi_add_2_1: 0.007974769997187738 , std 0.08894477522980028 
2023-05-09 14:49:15,526 INFO used_ofi_add_3_1: 0.004434333694909807 , std 0.06644298593224113 
2023-05-09 14:49:15,526 INFO used_ofi_add_4_1: 0.0046000562452292 , std 0.06766753821272004 
2023-05-09 14:49:15,526 INFO used_ofi_add_5_1: 0.004107910489735246 , std 0.0639612035623437 
2023-05-09 14:49:15,526 INFO used_ofi_add_6_1: 0.0028323490418223456 , std 0.05314439613663546 
2023-05-09 14:49:15,526 INFO used_ofi_add_7_1: 0.002074042826724519 , std 0.04549440815174356 
2023-05-09 14:49:15,526 INFO used_ofi_add_8_1: 0.0018882326945482302 , std 0.04341275471378739 
2023-05-09 14:49:15,526 INFO used_ofi_add_9_1: 0.0016270941304085814 , std 0.04030442525454706 
2023-05-09 14:49:15,526 INFO used_ofi_add_10_1: 0.002199590213330119 , std 0.04684818050067198 
2023-05-09 14:49:15,526 INFO used_ofi_cancel_1_1: 0.0021845245269374474 , std 0.04668781832050686 
2023-05-09 14:49:15,526 INFO used_ofi_cancel_2_1: 0.0025360572094331284 , std 0.05029538371723205 
2023-05-09 14:49:15,526 INFO used_ofi_cancel_3_1: 0.0028825679964645857 , std 0.0536121142859554 
2023-05-09 14:49:15,526 INFO used_ofi_cancel_4_1: 0.0019886706038327105 , std 0.04455014919236704 
2023-05-09 14:49:15,526 INFO used_ofi_cancel_5_1: 0.0014513277891607407 , std 0.038068641121126845 
2023-05-09 14:49:15,526 INFO used_ofi_cancel_6_1: 0.000929050660881443 , std 0.030466170185157154 
2023-05-09 14:49:15,526 INFO used_ofi_cancel_7_1: 0.0007231529468482585 , std 0.026881778152937033 
2023-05-09 14:49:15,526 INFO used_ofi_cancel_8_1: 0.0006277369330280021 , std 0.025046813756861658 
2023-05-09 14:49:15,527 INFO used_ofi_cancel_9_1: 0.0004218392189948174 , std 0.020534392386144153 
2023-05-09 14:49:15,527 INFO used_ofi_cancel_10_1: 0.0005423647101361938 , std 0.023282408609450023 
2023-05-09 14:49:15,527 INFO used_ofi_trade_1_1: 1.506568639267205e-05 , std 0.003881424921052263 
2023-05-09 14:49:15,527 INFO used_ofi_trade_2_1: 0.0007382186332409304 , std 0.027160148499050338 
2023-05-09 14:49:15,527 INFO used_ofi_trade_3_1: 0.000893897392631875 , std 0.029884750962377468 
2023-05-09 14:49:15,527 INFO used_ofi_trade_4_1: 0.000607649351171106 , std 0.024643054060670466 
2023-05-09 14:49:15,527 INFO used_ofi_trade_5_1: 0.0004971676509581776 , std 0.02229171315276191 
2023-05-09 14:49:15,527 INFO used_ofi_trade_6_1: 0.00022598529589008075 , std 0.015031108626316363 
2023-05-09 14:49:15,527 INFO used_ofi_trade_7_1: 0.0002711823550680969 , std 0.016465382327732227 
2023-05-09 14:49:15,527 INFO used_ofi_trade_8_1: 0.00010545980474870436 , std 0.010268820914705186 
2023-05-09 14:49:15,527 INFO used_ofi_trade_9_1: 0.00016572255031939255 , std 0.012872260343688989 
