2023-05-09 13:23:15,713 INFO Starting...
2023-05-09 13:23:15,713 INFO Tickers: ['V']
2023-05-09 13:24:48,226 INFO ofi_add_3_30: -1.998247526979392e-07 , std 3.0985299082042354e-06 
2023-05-09 13:24:48,226 INFO ofi_add_4_30: -2.0860470690574715e-07 , std 2.9179933251612116e-06 
2023-05-09 13:24:48,226 INFO ofi_add_5_30: -2.6217307377247324e-07 , std 3.2447616776205495e-06 
2023-05-09 13:24:48,226 INFO ofi_add_6_30: -3.043305438580155e-07 , std 3.4800338282084802e-06 
2023-05-09 13:24:48,226 INFO ofi_add_7_30: -2.515782734643095e-07 , std 3.280213189555766e-06 
2023-05-09 13:24:48,226 INFO ofi_add_8_30: -1.700286553178532e-07 , std 2.661672238649616e-06 
2023-05-09 13:24:48,226 INFO ofi_add_9_30: -1.367365632554043e-07 , std 2.5625332046000964e-06 
2023-05-09 13:24:48,226 INFO ofi_add_10_30: -1.8603006294309786e-07 , std 2.95005440259179e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_1_30: -4.295265699613853e-08 , std 2.1962206089010534e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_2_30: -8.492826966709123e-08 , std 2.1647318943538705e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_3_30: -1.453886342436189e-07 , std 2.633593466735558e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_4_30: -1.5411924873280542e-07 , std 2.7131987937368288e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_5_30: -1.9143014304225316e-07 , std 2.9286107593810835e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_6_30: -1.6510564401918657e-07 , std 2.6306312385999817e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_7_30: -1.1682129530938255e-07 , std 2.3374336594319606e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_8_30: -8.665802345837452e-08 , std 1.7357810335330657e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_9_30: -8.10193312248143e-08 , std 1.629210909030432e-06 
2023-05-09 13:24:48,226 INFO ofi_cancel_10_30: -1.059784657622206e-07 , std 1.8943817972697776e-06 
