2023-05-09 14:05:07,418 INFO Starting...
2023-05-09 14:05:07,418 INFO Tickers: ['CRM']
2023-05-09 14:06:41,713 INFO ofi_trade_8_10: -5.734262591359439e-09 , std 6.582737569511547e-07 
2023-05-09 14:06:41,713 INFO ofi_trade_9_10: -4.997417544330395e-09 , std 7.480459777105737e-07 
2023-05-09 14:06:41,713 INFO ofi_trade_10_10: -6.3152543392685755e-09 , std 7.166012614231948e-07 
2023-05-09 14:06:41,713 INFO ofi_add_1_20: -1.8380938466483178e-07 , std 3.484373457504013e-06 
2023-05-09 14:06:41,713 INFO ofi_add_2_20: -2.4775328940026653e-07 , std 3.996664321401785e-06 
2023-05-09 14:06:41,713 INFO ofi_add_3_20: -2.2518912947282444e-07 , std 3.292289402737903e-06 
2023-05-09 14:06:41,713 INFO ofi_add_4_20: -2.3254086833941281e-07 , std 3.249738938452582e-06 
2023-05-09 14:06:41,713 INFO ofi_add_5_20: -2.5167515214615265e-07 , std 3.262262482867832e-06 
2023-05-09 14:06:41,713 INFO ofi_add_6_20: -2.7560314718126536e-07 , std 3.4373725138980604e-06 
2023-05-09 14:06:41,713 INFO ofi_add_7_20: -2.3894374378772187e-07 , std 3.1831090494838483e-06 
2023-05-09 14:06:41,713 INFO ofi_add_8_20: -1.9720505823861754e-07 , std 3.193221709018292e-06 
2023-05-09 14:06:41,713 INFO ofi_add_9_20: -1.751193070752737e-07 , std 2.939644088976138e-06 
2023-05-09 14:06:41,713 INFO ofi_add_10_20: -2.7617615670574405e-07 , std 3.685823114268543e-06 
2023-05-09 14:06:41,713 INFO ofi_cancel_1_20: -7.125111339377902e-08 , std 2.157865834497339e-06 
2023-05-09 14:06:41,713 INFO ofi_cancel_2_20: -1.3898728485402345e-07 , std 3.04583882074361e-06 
2023-05-09 14:06:41,713 INFO ofi_cancel_3_20: -1.3949979453540793e-07 , std 3.006972170869033e-06 
2023-05-09 14:06:41,713 INFO ofi_cancel_4_20: -1.2599455159400753e-07 , std 2.550988993661015e-06 
2023-05-09 14:06:41,713 INFO ofi_cancel_5_20: -1.3782066736787674e-07 , std 2.9235497890308465e-06 
2023-05-09 14:06:41,713 INFO ofi_cancel_6_20: -1.1388379233213384e-07 , std 2.629392884500302e-06 
2023-05-09 14:06:41,713 INFO ofi_cancel_7_20: -8.932223598889866e-08 , std 2.6254123593278533e-06 
2023-05-09 14:06:41,713 INFO ofi_cancel_8_20: -8.979256775298248e-08 , std 2.293037763947085e-06 
