2023-05-09 15:21:15,908 INFO Starting...
2023-05-09 15:21:15,908 INFO Tickers: ['ISRG']
2023-05-09 15:22:54,379 INFO ofi_trade_1_5: -3.0193554247313826e-09 , std 5.350237956569797e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_2_5: -3.6402966379166934e-09 , std 5.293440357499447e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_3_5: 1.7955900895253913e-10 , std 9.84889277162385e-08 
2023-05-09 15:22:54,379 INFO ofi_trade_4_5: -8.463534575444166e-11 , std 3.775950723567307e-08 
2023-05-09 15:22:54,379 INFO ofi_trade_5_5: -2.9980274013203406e-09 , std 7.833962212816693e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_6_5: -2.163468756905267e-09 , std 6.545353597250641e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_7_5: -2.3163399729024362e-10 , std 8.667582308215989e-08 
2023-05-09 15:22:54,379 INFO ofi_trade_8_5: -4.910532398785633e-12 , std 2.1908019869254473e-09 
2023-05-09 15:22:54,379 INFO ofi_trade_9_5: -4.448593928250925e-10 , std 1.9286425608628582e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_10_5: -8.384747928662133e-10 , std 3.049398659897638e-07 
2023-05-09 15:22:54,379 INFO ofi_add_1_10: -1.0235965078082852e-07 , std 2.2640456657497446e-06 
2023-05-09 15:22:54,379 INFO ofi_add_2_10: -1.3390780604738156e-07 , std 2.557229230973848e-06 
2023-05-09 15:22:54,379 INFO ofi_add_3_10: -1.204585434126052e-07 , std 2.1515088136801414e-06 
2023-05-09 15:22:54,379 INFO ofi_add_4_10: -1.3566455757529384e-07 , std 2.3078578092120565e-06 
2023-05-09 15:22:54,379 INFO ofi_add_5_10: -1.031884613608057e-07 , std 1.9251816383386894e-06 
2023-05-09 15:22:54,379 INFO ofi_add_6_10: -7.917673310148219e-08 , std 1.9002318980136537e-06 
2023-05-09 15:22:54,379 INFO ofi_add_7_10: -6.82166957449897e-08 , std 1.8067197348319274e-06 
2023-05-09 15:22:54,379 INFO ofi_add_8_10: -5.230543090908047e-08 , std 1.762499087166908e-06 
2023-05-09 15:22:54,379 INFO ofi_add_9_10: -5.5360239083767145e-08 , std 1.8273038862274552e-06 
2023-05-09 15:22:54,379 INFO ofi_add_10_10: -6.092975102102178e-08 , std 2.201311157931902e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_1_10: -1.567923415963669e-08 , std 8.057710848894197e-07 
2023-05-09 15:22:54,379 INFO ofi_cancel_2_10: -2.1047087022616198e-08 , std 1.2382133311289845e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_3_10: -2.7012743910123994e-08 , std 1.1359270408058778e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_4_10: -2.9223037167025138e-08 , std 1.432060684148155e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_5_10: -2.135611084313165e-08 , std 1.524970281633557e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_6_10: -2.70073375055285e-08 , std 1.4163957507361355e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_7_10: -2.6061766631306437e-08 , std 1.3808100947979554e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_8_10: -3.071339059805338e-08 , std 1.6000904166588295e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_9_10: -3.189112065082848e-08 , std 1.3366649914996686e-06 
2023-05-09 15:22:54,379 INFO ofi_cancel_10_10: -4.611178341356583e-08 , std 1.6390847349303236e-06 
2023-05-09 15:22:54,379 INFO ofi_trade_1_10: -4.6041993325534904e-09 , std 7.781754108034644e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_2_10: -5.136820872809291e-09 , std 5.908464956191107e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_3_10: -2.5659737567648588e-09 , std 4.642225220522448e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_4_10: -4.630851932191966e-10 , std 1.251317367653085e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_5_10: -1.0247006246159694e-09 , std 2.1279921651903205e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_6_10: -9.203862831320343e-11 , std 2.9038368703454225e-08 
2023-05-09 15:22:54,379 INFO ofi_trade_7_10: -5.574574658908154e-10 , std 1.6812381920536656e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_8_10: -1.7791040165267867e-10 , std 7.696317014739479e-08 
2023-05-09 15:22:54,379 INFO ofi_trade_9_10: -9.119953981980063e-10 , std 3.3762037095376513e-07 
2023-05-09 15:22:54,379 INFO ofi_trade_10_10: -3.314684250353929e-09 , std 4.5586189419885813e-07 
2023-05-09 15:22:54,379 INFO ofi_add_1_20: -1.4347733566227876e-07 , std 2.836253609338465e-06 
2023-05-09 15:22:54,379 INFO ofi_add_2_20: -1.5479097128554455e-07 , std 2.4589992729738245e-06 
2023-05-09 15:22:54,379 INFO ofi_add_3_20: -1.5531776999459307e-07 , std 2.453047945973275e-06 
2023-05-09 15:22:54,379 INFO ofi_add_4_20: -1.5234488728478827e-07 , std 2.307599217677148e-06 
2023-05-09 15:22:54,380 INFO ofi_add_5_20: -1.1941530917738161e-07 , std 1.9785354728682402e-06 
2023-05-09 15:22:54,380 INFO ofi_add_6_20: -8.142207790193883e-08 , std 1.8486031098736005e-06 
2023-05-09 15:22:54,380 INFO ofi_add_7_20: -7.250108001481942e-08 , std 1.908738749327812e-06 
2023-05-09 15:22:54,380 INFO ofi_add_8_20: -7.092363762359611e-08 , std 1.7744131638814525e-06 
2023-05-09 15:22:54,380 INFO ofi_add_9_20: -5.4363264889272297e-08 , std 1.7204175706137906e-06 
2023-05-09 15:22:54,380 INFO ofi_add_10_20: -9.702863100260001e-08 , std 2.1272983519518236e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_1_20: -1.3552675992480506e-08 , std 9.946429307455928e-07 
2023-05-09 15:22:54,380 INFO ofi_cancel_2_20: -3.259219416002068e-08 , std 1.57474253268541e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_3_20: -2.7662524579558552e-08 , std 1.5466526691754337e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_4_20: -2.445761297351746e-08 , std 1.2058647466141325e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_5_20: -2.998752452423351e-08 , std 1.4325712921307557e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_6_20: -3.3086856766955734e-08 , std 1.429932800753569e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_7_20: -3.7314054366075096e-08 , std 1.40808998045502e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_8_20: -3.636879755358358e-08 , std 1.5868318499353724e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_9_20: -4.1805094944795485e-08 , std 1.4708254025798061e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_10_20: -4.912206832551606e-08 , std 1.953695759210554e-06 
2023-05-09 15:22:54,380 INFO ofi_trade_1_20: -3.742204234562712e-09 , std 5.097496944848137e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_2_20: -5.460573185246137e-10 , std 2.8278971042181337e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_3_20: -1.0518425066713127e-09 , std 2.543710977460046e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_4_20: -1.476998592443127e-09 , std 4.0621339820471217e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_5_20: -1.5413524276336178e-09 , std 3.251183514383942e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_6_20: -5.810407827057315e-11 , std 2.0594173286566514e-08 
2023-05-09 15:22:54,380 INFO ofi_trade_7_20: -1.0914866715795746e-10 , std 5.5862715085132655e-08 
2023-05-09 15:22:54,380 INFO ofi_trade_8_20: -1.6538916323119446e-09 , std 2.6108971865056996e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_9_20: -1.5370296568786327e-09 , std 3.75856780026249e-07 
2023-05-09 15:22:54,380 INFO ofi_trade_10_20: -2.9821569378443317e-09 , std 4.575221343916143e-07 
2023-05-09 15:22:54,380 INFO ofi_add_1_30: -1.2549663273554164e-07 , std 2.4162237872698078e-06 
2023-05-09 15:22:54,380 INFO ofi_add_2_30: -1.814171910160125e-07 , std 2.59963569710481e-06 
2023-05-09 15:22:54,380 INFO ofi_add_3_30: -1.6753926589563168e-07 , std 2.298457968839854e-06 
2023-05-09 15:22:54,380 INFO ofi_add_4_30: -1.4750568467700883e-07 , std 2.168894231507331e-06 
2023-05-09 15:22:54,380 INFO ofi_add_5_30: -1.1743854144757904e-07 , std 1.9696206810748016e-06 
2023-05-09 15:22:54,380 INFO ofi_add_6_30: -9.565967403729128e-08 , std 1.9198593194324696e-06 
2023-05-09 15:22:54,380 INFO ofi_add_7_30: -9.427421752463512e-08 , std 1.95132117075787e-06 
2023-05-09 15:22:54,380 INFO ofi_add_8_30: -7.590270698047128e-08 , std 1.8193862874022644e-06 
2023-05-09 15:22:54,380 INFO ofi_add_9_30: -5.957707971173022e-08 , std 1.73882797433074e-06 
2023-05-09 15:22:54,380 INFO ofi_add_10_30: -8.318363372830201e-08 , std 2.1586481239241703e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_1_30: -1.686865415823719e-08 , std 1.1728776659015395e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_2_30: -3.4029136600602545e-08 , std 1.7512505334155225e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_3_30: -3.8278970348039557e-08 , std 1.8546312642725508e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_4_30: -2.2608896686846603e-08 , std 1.2642229421577744e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_5_30: -2.2023156597120387e-08 , std 1.6233817965215246e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_6_30: -3.291284044049406e-08 , std 1.4262138576107488e-06 
2023-05-09 15:22:54,380 INFO ofi_cancel_7_30: -4.18742924909202e-08 , std 1.5249692812527297e-06 
