2023-05-09 14:19:15,166 INFO Starting...
2023-05-09 14:19:15,166 INFO Tickers: ['AVGO']
2023-05-09 14:20:50,990 INFO ofi_trade_6_30: -8.522146645635887e-09 , std 6.254523652441404e-07 
2023-05-09 14:20:50,990 INFO ofi_trade_7_30: -5.964762454202333e-09 , std 7.212345675202958e-07 
2023-05-09 14:20:50,990 INFO ofi_trade_8_30: -1.0714270171084263e-08 , std 8.010844249514469e-07 
2023-05-09 14:20:50,990 INFO ofi_trade_9_30: -6.624140109434174e-09 , std 6.054698519592111e-07 
2023-05-09 14:20:50,990 INFO ofi_trade_10_30: -1.172230911837401e-08 , std 9.313392527842502e-07 
2023-05-09 14:20:50,990 INFO used_intercept: 0.9899863404443373 , std 0.0995659890623599 
2023-05-09 14:20:50,990 INFO used_ofi_add_1_1: 0.002465750672933992 , std 0.04959506776437468 
2023-05-09 14:20:50,990 INFO used_ofi_add_2_1: 0.0038417500301313728 , std 0.06186267846478488 
2023-05-09 14:20:50,990 INFO used_ofi_add_3_1: 0.003620786629705516 , std 0.060063937049511344 
2023-05-09 14:20:50,990 INFO used_ofi_add_4_1: 0.004032582057771885 , std 0.06337444547859351 
2023-05-09 14:20:50,990 INFO used_ofi_add_5_1: 0.003922100357558957 , std 0.06250373977886597 
2023-05-09 14:20:50,990 INFO used_ofi_add_6_1: 0.004087822907878349 , std 0.0638052710342349 
2023-05-09 14:20:50,990 INFO used_ofi_add_7_1: 0.0034098670202081073 , std 0.05829442363650751 
2023-05-09 14:20:50,990 INFO used_ofi_add_8_1: 0.004434333694909807 , std 0.06644298593224114 
2023-05-09 14:20:50,990 INFO used_ofi_add_9_1: 0.004966654614117553 , std 0.07029926710899352 
2023-05-09 14:20:50,990 INFO used_ofi_add_10_1: 0.007030653649913623 , std 0.08355371660894914 
2023-05-09 14:20:50,990 INFO used_ofi_cancel_1_1: 0.00022096340042585674 , std 0.014863195336182891 
2023-05-09 14:20:50,990 INFO used_ofi_cancel_2_1: 0.0014111526254469487 , std 0.03753879691352192 
2023-05-09 14:20:50,990 INFO used_ofi_cancel_3_1: 0.0013408460889478124 , std 0.03659300781178784 
2023-05-09 14:20:50,990 INFO used_ofi_cancel_4_1: 0.0015417219075167731 , std 0.03923448739408552 
2023-05-09 14:20:50,990 INFO used_ofi_cancel_5_1: 0.0013559117753404845 , std 0.036797734693836494 
2023-05-09 14:20:50,990 INFO used_ofi_cancel_6_1: 0.0015618094893736691 , std 0.03948886223345226 
2023-05-09 14:20:50,990 INFO used_ofi_cancel_7_1: 0.0014161745209111728 , std 0.03760543804607911 
2023-05-09 14:20:50,990 INFO used_ofi_cancel_8_1: 0.0015467438029809972 , std 0.0392982364310275 
2023-05-09 14:20:50,990 INFO used_ofi_cancel_9_1: 0.001772729098871078 , std 0.042066453741824904 
2023-05-09 14:20:50,990 INFO used_ofi_cancel_10_1: 0.0025963199550038166 , std 0.05088790698874406 
2023-05-09 14:20:50,990 INFO used_ofi_trade_1_1: 9.541601382025632e-05 , std 0.009767646062617288 
2023-05-09 14:20:50,990 INFO used_ofi_trade_2_1: 0.00016572255031939255 , std 0.012872260343688989 
2023-05-09 14:20:50,990 INFO used_ofi_trade_3_1: 0.00013056928206982442 , std 0.011425945638432041 
2023-05-09 14:20:50,990 INFO used_ofi_trade_4_1: 9.541601382025632e-05 , std 0.009767646062617288 
2023-05-09 14:20:50,990 INFO used_ofi_trade_5_1: 7.532843196336024e-05 , std 0.008678868451053869 
2023-05-09 14:20:50,990 INFO used_ofi_trade_6_1: 5.021895464224017e-05 , std 0.007086355388973577 
2023-05-09 14:20:50,990 INFO used_ofi_trade_7_1: 0.00010545980474870436 , std 0.010268820914705186 
2023-05-09 14:20:50,990 INFO used_ofi_trade_8_1: 3.01313727853441e-05 , std 0.005489122414896408 
2023-05-09 14:20:50,990 INFO used_ofi_trade_9_1: 4.017516371379214e-05 , std 0.0063382607764285535 
