2023-05-09 13:50:05,672 INFO Starting...
2023-05-09 13:50:05,672 INFO Tickers: ['PEP']
2023-05-09 13:51:37,366 INFO ofi_add_6_20: -3.2405352847233017e-07 , std 3.515487492090881e-06 
2023-05-09 13:51:37,366 INFO ofi_add_7_20: -2.53703058117099e-07 , std 3.4581011071757816e-06 
2023-05-09 13:51:37,366 INFO ofi_add_8_20: -2.371419559946828e-07 , std 3.0558662351724723e-06 
2023-05-09 13:51:37,366 INFO ofi_add_9_20: -1.70285679848203e-07 , std 2.7135630490101113e-06 
2023-05-09 13:51:37,366 INFO ofi_add_10_20: -2.250605161353244e-07 , std 3.021356163672149e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_1_20: -4.2047654878362693e-08 , std 1.800304634784936e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_2_20: -1.0876846120878834e-07 , std 2.254682531991368e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_3_20: -1.477903404281215e-07 , std 2.9321037348707618e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_4_20: -1.5254681756304982e-07 , std 2.8073795575744983e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_5_20: -1.432538379699333e-07 , std 2.733898133980287e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_6_20: -1.396631983286419e-07 , std 2.8514026514332534e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_7_20: -1.1036103912623603e-07 , std 2.4185592346817067e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_8_20: -5.69337989967225e-08 , std 2.0444374214771425e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_9_20: -4.8021504586388825e-08 , std 1.8160895448240125e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_10_20: -3.6817537623151605e-08 , std 1.611400571414096e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_1_20: -2.40902888799788e-09 , std 4.6395208568468496e-07 
2023-05-09 13:51:37,366 INFO ofi_trade_2_20: -1.9778928916695694e-08 , std 1.5685724393138136e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_3_20: -3.449052621216922e-08 , std 2.2059301317383184e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_4_20: -3.071336464499598e-08 , std 1.3891244601952222e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_5_20: -4.433672838612011e-08 , std 1.7768244163211112e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_6_20: -4.3926970129978976e-08 , std 1.7334488932206652e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_7_20: -4.520173953099573e-08 , std 1.7000195095667546e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_8_20: -1.6279497283570222e-08 , std 1.1519694800847096e-06 
2023-05-09 13:51:37,366 INFO ofi_trade_9_20: -1.0923374718302463e-08 , std 9.7467575927148e-07 
2023-05-09 13:51:37,366 INFO ofi_trade_10_20: -6.187338158671979e-09 , std 6.536477060671312e-07 
2023-05-09 13:51:37,366 INFO ofi_add_1_30: -4.367906105285274e-07 , std 4.469218823639997e-06 
2023-05-09 13:51:37,366 INFO ofi_add_2_30: -2.293884442225133e-07 , std 3.296622053587609e-06 
2023-05-09 13:51:37,366 INFO ofi_add_3_30: -2.1651757503861012e-07 , std 3.1717545190459957e-06 
2023-05-09 13:51:37,366 INFO ofi_add_4_30: -2.741522488416053e-07 , std 3.226573836509999e-06 
2023-05-09 13:51:37,366 INFO ofi_add_5_30: -3.124422935642966e-07 , std 3.42385142879624e-06 
2023-05-09 13:51:37,366 INFO ofi_add_6_30: -3.343792878629219e-07 , std 3.3106994453963546e-06 
2023-05-09 13:51:37,366 INFO ofi_add_7_30: -2.673059249690881e-07 , std 3.123556021110906e-06 
2023-05-09 13:51:37,366 INFO ofi_add_8_30: -2.70504643442783e-07 , std 3.286644983865274e-06 
2023-05-09 13:51:37,366 INFO ofi_add_9_30: -1.8608747738915137e-07 , std 2.809311726374012e-06 
2023-05-09 13:51:37,366 INFO ofi_add_10_30: -2.617675393182435e-07 , std 3.325806984329813e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_1_30: -3.7826747954777014e-08 , std 1.8036043298553278e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_2_30: -1.4957773994208658e-07 , std 2.785148743165505e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_3_30: -1.640486714278899e-07 , std 2.991641389116428e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_4_30: -1.5183536047915404e-07 , std 2.848649376621207e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_5_30: -1.4472405621903955e-07 , std 2.833888990790907e-06 
2023-05-09 13:51:37,366 INFO ofi_cancel_6_30: -1.4305838889801728e-07 , std 2.741332810265995e-06 
2023-05-09 13:51:37,367 INFO ofi_cancel_7_30: -8.807101602910669e-08 , std 2.1114760249487983e-06 
2023-05-09 13:51:37,367 INFO ofi_cancel_8_30: -6.202609799077478e-08 , std 1.943246100522893e-06 
2023-05-09 13:51:37,367 INFO ofi_cancel_9_30: -4.9123824220006465e-08 , std 1.6043359080483241e-06 
2023-05-09 13:51:37,367 INFO ofi_cancel_10_30: -5.4378483419946e-08 , std 1.811240034806527e-06 
2023-05-09 13:51:37,367 INFO ofi_trade_1_30: -2.0116933862673906e-09 , std 3.7305532760701777e-07 
2023-05-09 13:51:37,367 INFO ofi_trade_2_30: -9.572010018385271e-09 , std 7.577167428854892e-07 
2023-05-09 13:51:37,367 INFO ofi_trade_3_30: -2.4402850331194043e-08 , std 1.4214767251748378e-06 
2023-05-09 13:51:37,367 INFO ofi_trade_4_30: -4.662596420026646e-08 , std 1.8096895244190913e-06 
2023-05-09 13:51:37,367 INFO ofi_trade_5_30: -7.129552986744327e-08 , std 2.386751380327447e-06 
2023-05-09 13:51:37,367 INFO ofi_trade_6_30: -7.072917919373678e-08 , std 2.278107237525852e-06 
2023-05-09 13:51:37,367 INFO ofi_trade_7_30: -5.6766677257585433e-08 , std 1.8092726903433383e-06 
2023-05-09 13:51:37,367 INFO ofi_trade_8_30: -3.265788718828247e-08 , std 1.6633081308972369e-06 
2023-05-09 13:51:37,367 INFO ofi_trade_9_30: -1.2008986095971615e-08 , std 1.0558934420321422e-06 
2023-05-09 13:51:37,367 INFO ofi_trade_10_30: -1.2991417971474451e-08 , std 8.745892360923237e-07 
2023-05-09 13:51:37,367 INFO used_intercept: 0.9834980515045599 , std 0.12739558152186425 
2023-05-09 13:51:37,367 INFO used_ofi_add_1_1: 0.0050068297778313444 , std 0.07058159415461772 
2023-05-09 13:51:37,367 INFO used_ofi_add_2_1: 0.003620786629705516 , std 0.060063937049511344 
2023-05-09 13:51:37,367 INFO used_ofi_add_3_1: 0.0031688160379253543 , std 0.05620297717063698 
2023-05-09 13:51:37,367 INFO used_ofi_add_4_1: 0.0048511510184404 , std 0.06948105750660884 
2023-05-09 13:51:37,367 INFO used_ofi_add_5_1: 0.005790245470250291 , std 0.07587304216679688 
2023-05-09 13:51:37,367 INFO used_ofi_add_6_1: 0.007658390582941626 , std 0.0871764855716307 
2023-05-09 13:51:37,367 INFO used_ofi_add_7_1: 0.006503354626170101 , std 0.08038072533124078 
2023-05-09 13:51:37,367 INFO used_ofi_add_8_1: 0.004906391868546864 , std 0.06987359434993395 
2023-05-09 13:51:37,367 INFO used_ofi_add_9_1: 0.003208991201639147 , std 0.05655699406003601 
2023-05-09 13:51:37,367 INFO used_ofi_add_10_1: 0.003530392511349484 , std 0.05931213063164474 
2023-05-09 13:51:37,367 INFO used_ofi_cancel_1_1: 0.0005172552328150737 , std 0.02273736308016387 
2023-05-09 13:51:37,367 INFO used_ofi_cancel_2_1: 0.0012454300751275561 , std 0.03526866851832549 
2023-05-09 13:51:37,367 INFO used_ofi_cancel_3_1: 0.0023251375999357197 , std 0.04816358930849201 
2023-05-09 13:51:37,367 INFO used_ofi_cancel_4_1: 0.0027771081917158814 , std 0.05262504975586614 
2023-05-09 13:51:37,367 INFO used_ofi_cancel_5_1: 0.0032341006789602667 , std 0.05677711926259218 
2023-05-09 13:51:37,367 INFO used_ofi_cancel_6_1: 0.0027871519826443295 , std 0.05271986121444147 
2023-05-09 13:51:37,367 INFO used_ofi_cancel_7_1: 0.00237535655457796 , std 0.04867971072034614 
2023-05-09 13:51:37,367 INFO used_ofi_cancel_8_1: 0.0016321160258728055 , std 0.04036647399948249 
2023-05-09 13:51:37,367 INFO used_ofi_cancel_9_1: 0.001190189225021092 , std 0.03447858283963735 
2023-05-09 13:51:37,367 INFO used_ofi_cancel_10_1: 0.0007030653649913623 , std 0.026506057120664173 
2023-05-09 13:51:37,367 INFO used_ofi_trade_1_1: 3.5153268249568114e-05 , std 0.005928914951093454 
2023-05-09 13:51:37,367 INFO used_ofi_trade_2_1: 0.00016572255031939255 , std 0.012872260343688987 
2023-05-09 13:51:37,367 INFO used_ofi_trade_3_1: 0.0002812261459965449 , std 0.016767440408462845 
2023-05-09 13:51:37,367 INFO used_ofi_trade_4_1: 0.0003264232051745611 , std 0.01806423685256825 
2023-05-09 13:51:37,367 INFO used_ofi_trade_5_1: 0.00046201438270860955 , std 0.021489553867374257 
2023-05-09 13:51:37,367 INFO used_ofi_trade_6_1: 0.0003967297416736973 , std 0.019914124313807242 
2023-05-09 13:51:37,367 INFO used_ofi_trade_7_1: 0.0003917078462094733 , std 0.01978773385642457 
2023-05-09 13:51:37,367 INFO used_ofi_trade_8_1: 0.0002711823550680969 , std 0.016465382327732224 
