2023-05-09 14:02:04,111 INFO Starting...
2023-05-09 14:02:04,111 INFO Tickers: ['BMY']
2023-05-09 14:03:33,510 INFO ofi_trade_1_20: -2.606920722706076e-09 , std 5.616774350043544e-07 
2023-05-09 14:03:33,510 INFO ofi_trade_2_20: -7.246932364760235e-08 , std 3.2544942620698765e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_3_20: -1.0895272264698263e-07 , std 4.334430224393289e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_4_20: -7.261156334382758e-08 , std 3.7782925935170683e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_5_20: -5.0901039057382766e-08 , std 2.93619545745131e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_6_20: -5.8184246419627506e-08 , std 3.6885826129933504e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_7_20: -2.103542377748574e-08 , std 2.0507380477166404e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_8_20: -2.3081976351284442e-08 , std 2.2851716248124458e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_9_20: -1.0177921284789864e-08 , std 1.678510829197806e-06 
2023-05-09 14:03:33,510 INFO ofi_trade_10_20: -2.1329216592660815e-08 , std 1.7820893688308186e-06 
2023-05-09 14:03:33,510 INFO ofi_add_1_30: -2.403753408827652e-06 , std 1.2009842189877564e-05 
2023-05-09 14:03:33,510 INFO ofi_add_2_30: -8.436742113013964e-07 , std 8.697145690330322e-06 
2023-05-09 14:03:33,510 INFO ofi_add_3_30: -4.717969880058339e-07 , std 6.704662513352902e-06 
2023-05-09 14:03:33,510 INFO ofi_add_4_30: -5.74524505226688e-07 , std 6.6691073941654075e-06 
2023-05-09 14:03:33,510 INFO ofi_add_5_30: -4.1239645715232895e-07 , std 6.366291678327763e-06 
2023-05-09 14:03:33,510 INFO ofi_add_6_30: -3.9570313528157076e-07 , std 5.899452090670059e-06 
2023-05-09 14:03:33,511 INFO ofi_add_7_30: -3.312258412213802e-07 , std 6.038065191649267e-06 
2023-05-09 14:03:33,511 INFO ofi_add_8_30: -2.808495724670792e-07 , std 5.748855979383856e-06 
2023-05-09 14:03:33,511 INFO ofi_add_9_30: -2.821650711868672e-07 , std 5.3537029193099685e-06 
2023-05-09 14:03:33,511 INFO ofi_add_10_30: -2.2617563336096798e-07 , std 5.7946782747612416e-06 
2023-05-09 14:03:33,511 INFO ofi_cancel_1_30: -1.742264208751362e-07 , std 6.488420058582504e-06 
2023-05-09 14:03:33,511 INFO ofi_cancel_2_30: -2.3042889933927149e-07 , std 5.588130481494088e-06 
2023-05-09 14:03:33,511 INFO ofi_cancel_3_30: -2.6996288980079904e-07 , std 5.778258341005366e-06 
2023-05-09 14:03:33,511 INFO ofi_cancel_4_30: -1.9251570353452754e-07 , std 4.523963213292705e-06 
2023-05-09 14:03:33,511 INFO ofi_cancel_5_30: -1.5895333317203797e-07 , std 4.466528942454299e-06 
2023-05-09 14:03:33,511 INFO ofi_cancel_6_30: -1.0043125382422059e-07 , std 3.38738613102399e-06 
2023-05-09 14:03:33,511 INFO ofi_cancel_7_30: -5.105749201045962e-08 , std 2.9410107618454903e-06 
2023-05-09 14:03:33,511 INFO ofi_cancel_8_30: -5.8776567595692075e-08 , std 2.876821939610373e-06 
2023-05-09 14:03:33,511 INFO ofi_cancel_9_30: -2.8591255854154138e-08 , std 2.2059193912754908e-06 
2023-05-09 14:03:33,511 INFO ofi_cancel_10_30: -5.947064696583885e-08 , std 2.3296655653473375e-06 
2023-05-09 14:03:33,511 INFO ofi_trade_1_30: -4.594856396864479e-10 , std 4.992871264391547e-07 
2023-05-09 14:03:33,511 INFO ofi_trade_2_30: -6.85956931724694e-08 , std 3.351672114910067e-06 
2023-05-09 14:03:33,511 INFO ofi_trade_3_30: -1.317854546809489e-07 , std 4.692026710294811e-06 
2023-05-09 14:03:33,511 INFO ofi_trade_4_30: -8.868239908024272e-08 , std 4.385669141747648e-06 
2023-05-09 14:03:33,511 INFO ofi_trade_5_30: -5.1691403948251865e-08 , std 3.045404158914138e-06 
2023-05-09 14:03:33,511 INFO ofi_trade_6_30: -3.801352343585887e-08 , std 2.8393465444329456e-06 
2023-05-09 14:03:33,511 INFO ofi_trade_7_30: -3.4710987461009737e-08 , std 2.6216194257212834e-06 
2023-05-09 14:03:33,511 INFO ofi_trade_8_30: -9.944756855695986e-09 , std 1.2699392553358309e-06 
2023-05-09 14:03:33,511 INFO ofi_trade_9_30: -2.3198751970650843e-08 , std 2.358866855617983e-06 
2023-05-09 14:03:33,511 INFO ofi_trade_10_30: -5.080639918736877e-09 , std 1.958520387900542e-06 
