2023-05-09 09:47:25,376 INFO Starting...
2023-05-09 09:47:25,376 INFO Tickers: ['QCOM']
2023-05-09 09:48:47,124 INFO used_ofi_trade_4_1: 0.0048133788183931355 , std 0.06921134446565663 
2023-05-09 09:48:47,124 INFO used_ofi_trade_5_1: 0.0028679334895169726 , std 0.053476241893168595 
2023-05-09 09:48:47,124 INFO used_ofi_trade_6_1: 0.0027080964319801987 , std 0.05196886227054904 
2023-05-09 09:48:47,124 INFO used_ofi_trade_7_1: 0.002274252990094669 , std 0.0476348691971723 
2023-05-09 09:48:47,124 INFO used_ofi_trade_8_1: 0.002201184620935001 , std 0.04686511930209461 
2023-05-09 09:48:47,124 INFO used_ofi_trade_9_1: 0.0019728459673110385 , std 0.04437289539910939 
2023-05-09 09:48:47,124 INFO used_ofi_trade_10_1: 0.0026532951551104474 , std 0.05144176493794041 
2023-05-09 09:48:47,124 INFO used_ofi_add_1_2: 0.0845355363446635 , std 0.2781892870683262 
2023-05-09 09:48:47,124 INFO used_ofi_add_2_2: 0.03950715385001804 , std 0.19479819979837867 
2023-05-09 09:48:47,124 INFO used_ofi_add_3_2: 0.024564672356865914 , std 0.15479421574744243 
2023-05-09 09:48:47,124 INFO used_ofi_add_4_2: 0.027692911911514205 , std 0.16409148223285483 
2023-05-09 09:48:47,124 INFO used_ofi_add_5_2: 0.023728952884602212 , std 0.15220344831705537 
2023-05-09 09:48:47,124 INFO used_ofi_add_6_2: 0.0200115996036041 , std 0.14003976394192164 
2023-05-09 09:48:47,125 INFO used_ofi_add_7_2: 0.019463586834906586 , std 0.13814758637930172 
2023-05-09 09:48:47,125 INFO used_ofi_add_8_2: 0.017435939590725796 , std 0.1308889896107169 
2023-05-09 09:48:47,125 INFO used_ofi_add_9_2: 0.019349417508094605 , std 0.13774983684270573 
2023-05-09 09:48:47,125 INFO used_ofi_add_10_2: 0.02268316185100446 , std 0.148891356429598 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_1_2: 0.02153690180981217 , std 0.14516564218246233 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_2_2: 0.014243765213062799 , std 0.1184942208110503 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_3_2: 0.010905454097080462 , std 0.10385819740404188 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_4_2: 0.011745740342416645 , std 0.10773939820801476 
2023-05-09 09:48:47,125 INFO used_ofi_cancel_5_2: 0.008238458622752578 , std 0.09039129616436402 
