2023-05-09 10:07:04,367 INFO Starting...
2023-05-09 10:07:04,367 INFO Tickers: ['CAT']
2023-05-09 10:08:23,355 INFO 2_3: 0.05842272791622711
2023-05-09 10:08:23,355 INFO 3_3: 0.06640088047384837
2023-05-09 10:08:23,355 INFO 4_3: 0.08216538112004676
2023-05-09 10:08:23,355 INFO 5_3: 0.09318957131701168
2023-05-09 10:08:23,355 INFO 6_3: 0.09566019554922298
2023-05-09 10:08:23,355 INFO 7_3: 0.09200221031816708
2023-05-09 10:08:23,355 INFO 8_3: 0.08370438364547228
2023-05-09 10:08:23,355 INFO 9_3: 0.07354331355920593
2023-05-09 10:08:23,355 INFO 10_3: 0.09118932471126577
2023-05-09 10:08:23,366 INFO Non empty regressions: 0.38882419293702875 --- 85142 / 218973
