2023-05-09 08:58:49,722 INFO Starting...
2023-05-09 08:58:49,722 INFO Tickers: ['CVX']
2023-05-09 09:00:10,427 INFO used_ofi_add_8_2: 0.024875212925794504 , std 0.15574478067560046 
2023-05-09 09:00:10,427 INFO used_ofi_add_9_2: 0.020829051983577884 , std 0.14281177324381658 
2023-05-09 09:00:10,427 INFO used_ofi_add_10_2: 0.02263749412027967 , std 0.14874487547554022 
2023-05-09 09:00:10,427 INFO used_ofi_cancel_1_2: 0.01208824832285259 , std 0.10928001910384919 
2023-05-09 09:00:10,427 INFO used_ofi_cancel_2_2: 0.013622684075205619 , std 0.11591853412544846 
2023-05-09 09:00:10,427 INFO used_ofi_cancel_3_2: 0.016860526183593412 , std 0.1287487818987262 
2023-05-09 09:00:10,427 INFO used_ofi_cancel_4_2: 0.0195046877925589 , std 0.1382904730871715 
2023-05-09 09:00:10,427 INFO used_ofi_cancel_5_2: 0.019107378535253204 , std 0.13690247120035395 
2023-05-09 09:00:10,427 INFO used_ofi_cancel_6_2: 0.02071944942983838 , std 0.1424435110672394 
2023-05-09 09:00:10,427 INFO used_ofi_cancel_7_2: 0.016833125545158537 , std 0.1286459149352962 
2023-05-09 09:00:10,427 INFO used_ofi_cancel_8_2: 0.012284619564969197 , std 0.11015311020172408 
2023-05-09 09:00:10,427 INFO used_ofi_cancel_9_2: 0.009923597886497422 , std 0.0991217437875491 
2023-05-09 09:00:10,427 INFO used_ofi_cancel_10_2: 0.011732040023199207 , std 0.10767729222121654 
2023-05-09 09:00:10,427 INFO used_ofi_trade_1_2: 0.00014156996524685692 , std 0.011897475496583168 
2023-05-09 09:00:10,427 INFO used_ofi_trade_2_2: 0.0007215501454517223 , std 0.026851992679116407 
2023-05-09 09:00:10,427 INFO used_ofi_trade_3_2: 0.0020367807903257477 , std 0.04508472373584991 
2023-05-09 09:00:10,427 INFO used_ofi_trade_4_2: 0.003023203773981267 , std 0.05490049191876383 
2023-05-09 09:00:10,427 INFO used_ofi_trade_5_2: 0.003982226119201911 , std 0.06297910760194572 
2023-05-09 09:00:10,427 INFO used_ofi_trade_6_2: 0.0034753143081567134 , std 0.058849269312509174 
2023-05-09 09:00:10,427 INFO used_ofi_trade_7_2: 0.0028496663972270553 , std 0.0533061516023392 
2023-05-09 09:00:10,427 INFO used_ofi_trade_8_2: 0.001680572490672366 , std 0.04096032430018055 
2023-05-09 09:00:10,427 INFO used_ofi_trade_9_2: 0.0012284619564969198 , std 0.035027886572249256 
2023-05-09 09:00:10,427 INFO used_ofi_trade_10_2: 0.0010001233028729569 , std 0.03160890786237335 
2023-05-09 09:00:10,427 INFO used_ofi_add_1_3: 0.05315723856365853 , std 0.22434693345785858 
2023-05-09 09:00:10,427 INFO used_ofi_add_2_3: 0.03997296470341092 , std 0.1958957038738491 
2023-05-09 09:00:10,427 INFO used_ofi_add_3_3: 0.04300530202353715 , std 0.20286903662560607 
2023-05-09 09:00:10,427 INFO used_ofi_add_4_3: 0.04802418563019185 , std 0.21381735950279795 
2023-05-09 09:00:10,427 INFO used_ofi_add_5_3: 0.05077338301982436 , std 0.21953461366387433 
