2023-05-09 09:38:56,000 INFO Starting...
2023-05-09 09:38:56,001 INFO Tickers: ['ORCL']
2023-05-09 09:40:15,924 INFO used_ofi_cancel_2_3: 0.02724080137733876 , std 0.16278433621715307 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_3_3: 0.03298123512944518 , std 0.17858743869259516 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_4_3: 0.04022870399546976 , std 0.1964951790001847 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_5_3: 0.010900887324007983 , std 0.10383668898591321 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_6_3: 0.005968772405730387 , std 0.07702691842271103 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_7_3: 0.0036762523233458007 , std 0.06052055429522183 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_8_3: 0.0033337443429098564 , std 0.057642263067700365 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_9_3: 0.0028816338087344104 , std 0.05360345133782683 
2023-05-09 09:40:15,924 INFO used_ofi_cancel_10_3: 0.0026167609705306134 , std 0.051087312833557025 
2023-05-09 09:40:15,924 INFO used_ofi_trade_1_3: 0.0015846702561503015 , std 0.03977636328687647 
2023-05-09 09:40:15,924 INFO used_ofi_trade_2_3: 0.009772894375105607 , std 0.09837370029961585 
2023-05-09 09:40:15,924 INFO used_ofi_trade_3_3: 0.012111082188214986 , std 0.1093819175021415 
2023-05-09 09:40:15,924 INFO used_ofi_trade_4_3: 0.015864969653792933 , std 0.12495308076104873 
2023-05-09 09:40:15,924 INFO used_ofi_trade_5_3: 0.008124289295940595 , std 0.0897679520729779 
2023-05-09 09:40:15,924 INFO used_ofi_trade_6_3: 0.00502801715279966 , std 0.07073002330206608 
2023-05-09 09:40:15,924 INFO used_ofi_trade_7_3: 0.0038543564731724914 , std 0.0619637023534763 
2023-05-09 09:40:15,924 INFO used_ofi_trade_8_3: 0.003324610796764898 , std 0.05756351066270135 
2023-05-09 09:40:15,924 INFO used_ofi_trade_9_3: 0.0033931123928520866 , std 0.05815151916452021 
2023-05-09 09:40:15,924 INFO used_ofi_trade_10_3: 0.004078128353723975 , std 0.06372987700329044 
2023-05-09 09:40:16,608 INFO Grouping by horizont:
2023-05-09 09:40:16,608 INFO 1: 0.2891498038570966
2023-05-09 09:40:16,609 INFO 2: 0.4199604517451924
2023-05-09 09:40:16,609 INFO 3: 0.7224726336123631
2023-05-09 09:40:16,609 INFO Grouping by ofi type:
2023-05-09 09:40:16,609 INFO add: 0.9409607577189882
2023-05-09 09:40:16,609 INFO cancel: 0.36593095952469024
2023-05-09 09:40:16,609 INFO trade: 0.12469117197097358
2023-05-09 09:40:16,609 INFO Grouping by ofi type and horizont:
2023-05-09 09:40:16,609 INFO add_1: 0.2004767711087668
2023-05-09 09:40:16,609 INFO cancel_1: 0.06811798714910058
2023-05-09 09:40:16,609 INFO trade_1: 0.020555045599229133
2023-05-09 09:40:16,609 INFO add_2: 0.2784681216405676
2023-05-09 09:40:16,609 INFO cancel_2: 0.10449233467139782
2023-05-09 09:40:16,609 INFO trade_2: 0.036999995433226934
2023-05-09 09:40:16,609 INFO add_3: 0.4620158649696538
2023-05-09 09:40:16,609 INFO cancel_3: 0.19332063770419186
2023-05-09 09:40:16,609 INFO trade_3: 0.06713613093851754
2023-05-09 09:40:16,609 INFO Grouping by level:
2023-05-09 09:40:16,609 INFO 1: 0.5206760650856499
2023-05-09 09:40:16,609 INFO 2: 0.1928502600777265
2023-05-09 09:40:16,609 INFO 3: 0.1683860567284551
2023-05-09 09:40:16,609 INFO 4: 0.24084704506948346
2023-05-09 09:40:16,609 INFO 5: 0.09770610988569368
2023-05-09 09:40:16,609 INFO 6: 0.05724450046352746
2023-05-09 09:40:16,609 INFO 7: 0.04261712631237641
2023-05-09 09:40:16,609 INFO 8: 0.03772611235175113
2023-05-09 09:40:16,609 INFO 9: 0.03468464148547994
2023-05-09 09:40:16,609 INFO 10: 0.03884497175450854
2023-05-09 09:40:16,609 INFO Grouping by level and horizont:
2023-05-09 09:40:16,609 INFO 1_1: 0.12672338598822686
2023-05-09 09:40:16,609 INFO 2_1: 0.03725573472528576
2023-05-09 09:40:16,609 INFO 3_1: 0.028985308691025835
2023-05-09 09:40:16,609 INFO 4_1: 0.04353961447301722
2023-05-09 09:40:16,609 INFO 5_1: 0.01760034342133505
2023-05-09 09:40:16,609 INFO 6_1: 0.009827695651975357
2023-05-09 09:40:16,609 INFO 7_1: 0.006914094431733592
2023-05-09 09:40:16,609 INFO 8_1: 0.0063432477976736856
2023-05-09 09:40:16,609 INFO 9_1: 0.005799801802048654
2023-05-09 09:40:16,609 INFO 10_1: 0.006160576874774515
2023-05-09 09:40:16,609 INFO 1_2: 0.15933927927187372
2023-05-09 09:40:16,610 INFO 2_2: 0.05830855858941514
2023-05-09 09:40:16,610 INFO 3_2: 0.04651258374320121
2023-05-09 09:40:16,610 INFO 4_2: 0.06979399286670046
2023-05-09 09:40:16,610 INFO 5_2: 0.02777968059989131
2023-05-09 09:40:16,610 INFO 6_2: 0.015545295538719386
2023-05-09 09:40:16,610 INFO 7_2: 0.01196494544989565
2023-05-09 09:40:16,610 INFO 8_2: 0.010741050266471208
2023-05-09 09:40:16,610 INFO 9_2: 0.00932078384093016
2023-05-09 09:40:16,610 INFO 10_2: 0.010654281578094104
2023-05-09 09:40:16,610 INFO 1_3: 0.23461339982554927
2023-05-09 09:40:16,610 INFO 2_3: 0.09728596676302557
2023-05-09 09:40:16,610 INFO 3_3: 0.09288816429422804
2023-05-09 09:40:16,610 INFO 4_3: 0.12751343772976578
2023-05-09 09:40:16,610 INFO 5_3: 0.05232608586446731
2023-05-09 09:40:16,610 INFO 6_3: 0.03187150927283272
2023-05-09 09:40:16,610 INFO 7_3: 0.02373808643074717
2023-05-09 09:40:16,610 INFO 8_3: 0.020641814287606235
2023-05-09 09:40:16,610 INFO 9_3: 0.01956405584250113
2023-05-09 09:40:16,610 INFO 10_3: 0.022030113301639925
2023-05-09 09:40:16,621 INFO Non empty regressions: 0.3917880286610678 --- 85791 / 218973
