2023-05-09 08:32:46,586 INFO Starting...
2023-05-09 08:32:46,586 INFO Tickers: ['AMZN']
2023-05-09 08:34:09,990 INFO 3: 0.7458316778780946
2023-05-09 08:34:09,990 INFO Grouping by ofi type:
2023-05-09 08:34:09,990 INFO add: 0.8911783644558917
2023-05-09 08:34:09,990 INFO cancel: 0.5021212660921665
2023-05-09 08:34:09,991 INFO trade: 0.040237837541614724
2023-05-09 08:34:09,991 INFO Grouping by ofi type and horizont:
2023-05-09 08:34:09,991 INFO add_1: 0.16846825864375975
2023-05-09 08:34:09,991 INFO cancel_1: 0.09078744868088762
2023-05-09 08:34:09,991 INFO trade_1: 0.005895704036570719
2023-05-09 08:34:09,991 INFO add_2: 0.2628040900019637
2023-05-09 08:34:09,991 INFO cancel_2: 0.14887680216282373
2023-05-09 08:34:09,991 INFO trade_2: 0.010873486685573107
2023-05-09 08:34:09,991 INFO add_3: 0.4599060158101684
2023-05-09 08:34:09,991 INFO cancel_3: 0.2624570152484553
2023-05-09 08:34:09,991 INFO trade_3: 0.02346864681947089
2023-05-09 08:34:09,991 INFO Grouping by level:
2023-05-09 08:34:09,991 INFO 1: 0.07473067455805055
2023-05-09 08:34:09,991 INFO 2: 0.10878966813260083
2023-05-09 08:34:09,991 INFO 3: 0.10928744639750106
2023-05-09 08:34:09,991 INFO 4: 0.11294086485548446
2023-05-09 08:34:09,991 INFO 5: 0.11992802765637774
2023-05-09 08:34:09,991 INFO 6: 0.13250948747105806
2023-05-09 08:34:09,991 INFO 7: 0.1456709274659433
2023-05-09 08:34:09,991 INFO 8: 0.16346764212939494
2023-05-09 08:34:09,991 INFO 9: 0.19355354313088827
2023-05-09 08:34:09,991 INFO 10: 0.27265918629237396
2023-05-09 08:34:09,991 INFO Grouping by level and horizont:
2023-05-09 08:34:09,991 INFO 1_1: 0.010699949308818894
2023-05-09 08:34:09,991 INFO 2_1: 0.017276102533189022
2023-05-09 08:34:09,991 INFO 3_1: 0.01986546286528476
2023-05-09 08:34:09,991 INFO 4_1: 0.02121722769473862
2023-05-09 08:34:09,991 INFO 5_1: 0.022422855785873146
2023-05-09 08:34:09,991 INFO 6_1: 0.02379288770761692
2023-05-09 08:34:09,991 INFO 7_1: 0.027391504888730576
2023-05-09 08:34:09,991 INFO 8_1: 0.03035534061276961
2023-05-09 08:34:09,991 INFO 9_1: 0.038032086147607246
2023-05-09 08:34:09,991 INFO 10_1: 0.05409799381658926
2023-05-09 08:34:09,991 INFO 1_2: 0.020573312691519047
2023-05-09 08:34:09,991 INFO 2_2: 0.0322733853032109
2023-05-09 08:34:09,991 INFO 3_2: 0.03216834952254388
2023-05-09 08:34:09,991 INFO 4_2: 0.033168472825416837
2023-05-09 08:34:09,991 INFO 5_2: 0.035629963511483155
2023-05-09 08:34:09,991 INFO 6_2: 0.03987249569581638
2023-05-09 08:34:09,991 INFO 7_2: 0.04367205089211912
2023-05-09 08:34:09,991 INFO 8_2: 0.04987372872454595
2023-05-09 08:34:09,992 INFO 9_2: 0.05665538673717764
2023-05-09 08:34:09,992 INFO 10_2: 0.07866723294652765
2023-05-09 08:34:09,992 INFO 1_3: 0.04345741255771259
2023-05-09 08:34:09,992 INFO 2_3: 0.0592401802962009
2023-05-09 08:34:09,992 INFO 3_3: 0.05725363400967243
2023-05-09 08:34:09,992 INFO 4_3: 0.058555164335329014
2023-05-09 08:34:09,992 INFO 5_3: 0.06187520835902143
2023-05-09 08:34:09,992 INFO 6_3: 0.06884410406762477
2023-05-09 08:34:09,992 INFO 7_3: 0.0746073716850936
2023-05-09 08:34:09,992 INFO 8_3: 0.0832385727920794
2023-05-09 08:34:09,992 INFO 9_3: 0.0988660702461034
2023-05-09 08:34:09,992 INFO 10_3: 0.13989395952925704
2023-05-09 08:34:10,002 INFO Non empty regressions: 0.39060980120836813 --- 85533 / 218973
