2023-05-09 08:31:25,095 INFO Starting...
2023-05-09 08:31:25,095 INFO Tickers: ['MSFT']
2023-05-09 08:32:46,570 INFO 5_2: 0.04949925333260265
2023-05-09 08:32:46,570 INFO 6_2: 0.041795107159330144
2023-05-09 08:32:46,570 INFO 7_2: 0.03898197494668292
2023-05-09 08:32:46,570 INFO 8_2: 0.0329538344910103
2023-05-09 08:32:46,570 INFO 9_2: 0.035990738584209016
2023-05-09 08:32:46,570 INFO 10_2: 0.03821932384357889
2023-05-09 08:32:46,570 INFO 1_3: 0.15490037584542388
2023-05-09 08:32:46,570 INFO 2_3: 0.07725610006713157
2023-05-09 08:32:46,571 INFO 3_3: 0.0656701967822517
2023-05-09 08:32:46,571 INFO 4_3: 0.07687705790211578
2023-05-09 08:32:46,571 INFO 5_3: 0.09432213103898654
2023-05-09 08:32:46,571 INFO 6_3: 0.07756664063606016
2023-05-09 08:32:46,571 INFO 7_3: 0.0743196649815274
2023-05-09 08:32:46,571 INFO 8_3: 0.0629621003502715
2023-05-09 08:32:46,571 INFO 9_3: 0.06362428244578099
2023-05-09 08:32:46,571 INFO 10_3: 0.07433793207381731
2023-05-09 08:32:46,582 INFO Non empty regressions: 0.399784448310979 --- 87542 / 218973
