2023-05-09 10:34:37,286 INFO Starting...
2023-05-09 10:34:37,286 INFO Tickers: ['TGT']
2023-05-09 10:35:54,103 INFO used_ofi_trade_8_2: 0.0016029373484402188 , std 0.04000459898933114 
2023-05-09 10:35:54,104 INFO used_ofi_trade_9_2: 0.001342631283308901 , std 0.03661732683506514 
2023-05-09 10:35:54,104 INFO used_ofi_trade_10_2: 0.0014202664255410485 , std 0.03765965040758517 
2023-05-09 10:35:54,104 INFO used_ofi_add_1_3: 0.07048814237371731 , std 0.2559678967339847 
2023-05-09 10:35:54,104 INFO used_ofi_add_2_3: 0.049088243756079515 , std 0.2160522808975254 
2023-05-09 10:35:54,104 INFO used_ofi_add_3_3: 0.04943988528266042 , std 0.21678464665630218 
2023-05-09 10:35:54,104 INFO used_ofi_add_4_3: 0.0592630141615633 , std 0.23611630463407146 
2023-05-09 10:35:54,104 INFO used_ofi_add_5_3: 0.06211724733186283 , std 0.24136838010761677 
2023-05-09 10:35:54,104 INFO used_ofi_add_6_3: 0.05709836372520813 , std 0.23203047339759486 
2023-05-09 10:35:54,104 INFO used_ofi_add_7_3: 0.04529782210592173 , std 0.2079565565650239 
2023-05-09 10:35:54,104 INFO used_ofi_add_8_3: 0.03813712192827426 , std 0.1915272352938407 
2023-05-09 10:35:54,104 INFO used_ofi_add_9_3: 0.036821891283400236 , std 0.1883242937215316 
2023-05-09 10:35:54,104 INFO used_ofi_add_10_3: 0.04864526676804903 , std 0.21512532344918014 
2023-05-09 10:35:54,104 INFO used_ofi_cancel_1_3: 0.01975586031154526 , std 0.13916021807577036 
2023-05-09 10:35:54,104 INFO used_ofi_cancel_2_3: 0.024989382252606485 , std 0.15609264245069207 
2023-05-09 10:35:54,104 INFO used_ofi_cancel_3_3: 0.030081334228420856 , std 0.17081114588767 
2023-05-09 10:35:54,104 INFO used_ofi_cancel_4_3: 0.03612317500331091 , std 0.1865966002664333 
2023-05-09 10:35:54,104 INFO used_ofi_cancel_5_3: 0.03456590538559549 , std 0.18267759460445485 
2023-05-09 10:35:54,104 INFO used_ofi_cancel_6_3: 0.02735953747722322 , std 0.16312876259647055 
2023-05-09 10:35:54,104 INFO used_ofi_cancel_7_3: 0.02054134528001169 , std 0.1418428652209868 
2023-05-09 10:35:54,104 INFO used_ofi_cancel_8_3: 0.015590963269444178 , std 0.12388658173416126 
