2023-05-09 09:44:14,837 INFO Starting...
2023-05-09 09:44:14,838 INFO Tickers: ['LIN']
2023-05-09 09:44:45,685 INFO used_ofi_trade_7_3: 0.0008607208233825116 , std 0.02932541530902346 
2023-05-09 09:44:45,685 INFO used_ofi_trade_8_3: 0.0011031773933494163 , std 0.03319578878394395 
2023-05-09 09:44:45,685 INFO used_ofi_trade_9_3: 0.0010668089078543807 , std 0.03264461405206843 
2023-05-09 09:44:45,685 INFO used_ofi_trade_10_3: 0.0021578634727054515 , std 0.046402662616908265 
2023-05-09 09:44:45,944 INFO Grouping by horizont:
2023-05-09 09:44:45,944 INFO 1: 0.28635333195941287
2023-05-09 09:44:45,944 INFO 2: 0.4436955230394356
2023-05-09 09:44:45,944 INFO 3: 0.7864927444871439
2023-05-09 09:44:45,944 INFO Grouping by ofi type:
2023-05-09 09:44:45,944 INFO add: 0.9229594248930161
2023-05-09 09:44:45,944 INFO cancel: 0.5586199372037484
2023-05-09 09:44:45,944 INFO trade: 0.03496223738922765
2023-05-09 09:44:45,944 INFO Grouping by ofi type and horizont:
2023-05-09 09:44:45,944 INFO add_1: 0.18203639273115202
2023-05-09 09:44:45,944 INFO cancel_1: 0.09826764780758646
2023-05-09 09:44:45,944 INFO trade_1: 0.0060492914206742715
2023-05-09 09:44:45,944 INFO add_2: 0.26968444277418807
2023-05-09 09:44:45,944 INFO cancel_2: 0.16352483361417885
2023-05-09 09:44:45,944 INFO trade_2: 0.010486246651068627
2023-05-09 09:44:45,944 INFO add_3: 0.471238589387676
2023-05-09 09:44:45,944 INFO cancel_3: 0.29682745578198305
2023-05-09 09:44:45,944 INFO trade_3: 0.018426699317484755
2023-05-09 09:44:45,944 INFO Grouping by level:
2023-05-09 09:44:45,944 INFO 1: 0.1451466256106875
2023-05-09 09:44:45,944 INFO 2: 0.19260749918170908
2023-05-09 09:44:45,944 INFO 3: 0.16386427281213256
2023-05-09 09:44:45,944 INFO 4: 0.14620131169004352
2023-05-09 09:44:45,944 INFO 5: 0.14280691971050685
2023-05-09 09:44:45,944 INFO 6: 0.14551031046563784
2023-05-09 09:44:45,944 INFO 7: 0.12585920546982024
2023-05-09 09:44:45,944 INFO 8: 0.12511971293142116
2023-05-09 09:44:45,944 INFO 9: 0.14245535768405485
2023-05-09 09:44:45,945 INFO 10: 0.18697038392997853
2023-05-09 09:44:45,945 INFO Grouping by level and horizont:
2023-05-09 09:44:45,945 INFO 1_1: 0.02665809986786117
2023-05-09 09:44:45,945 INFO 2_1: 0.03573809841312175
2023-05-09 09:44:45,945 INFO 3_1: 0.031798179151159546
2023-05-09 09:44:45,945 INFO 4_1: 0.028561383942101372
2023-05-09 09:44:45,945 INFO 5_1: 0.02670659118185455
2023-05-09 09:44:45,945 INFO 6_1: 0.028343173029131155
2023-05-09 09:44:45,945 INFO 7_1: 0.02439113093867061
2023-05-09 09:44:45,945 INFO 8_1: 0.02365163840027155
2023-05-09 09:44:45,945 INFO 9_1: 0.026064081271442253
2023-05-09 09:44:45,945 INFO 10_1: 0.03444095576379881
2023-05-09 09:44:45,945 INFO 1_2: 0.04142370497884566
2023-05-09 09:44:45,945 INFO 2_2: 0.056286292717816926
2023-05-09 09:44:45,945 INFO 3_2: 0.04966722835772043
2023-05-09 09:44:45,945 INFO 4_2: 0.04116912558038042
2023-05-09 09:44:45,945 INFO 5_2: 0.041920740947277824
2023-05-09 09:44:45,945 INFO 6_2: 0.04202984640376293
2023-05-09 09:44:45,945 INFO 7_2: 0.038623331595727915
2023-05-09 09:44:45,945 INFO 8_2: 0.03682915297797282
2023-05-09 09:44:45,945 INFO 9_2: 0.04130247669386221
2023-05-09 09:44:45,945 INFO 10_2: 0.054443622786068444
2023-05-09 09:44:45,945 INFO 1_3: 0.07706482076398065
2023-05-09 09:44:45,945 INFO 2_3: 0.1005831080507704
2023-05-09 09:44:45,945 INFO 3_3: 0.08239886530325256
2023-05-09 09:44:45,945 INFO 4_3: 0.07647080216756175
2023-05-09 09:44:45,945 INFO 5_3: 0.0741795875813745
2023-05-09 09:44:45,945 INFO 6_3: 0.07513729103274376
2023-05-09 09:44:45,945 INFO 7_3: 0.0628447429354217
2023-05-09 09:44:45,945 INFO 8_3: 0.0646389215531768
2023-05-09 09:44:45,945 INFO 9_3: 0.07508879971875038
2023-05-09 09:44:45,945 INFO 10_3: 0.09808580538011129
2023-05-09 09:44:45,950 INFO Non empty regressions: 0.4017747820921577 --- 33142 / 82489
