2023-05-09 10:20:26,936 INFO Starting...
2023-05-09 10:20:26,936 INFO Tickers: ['CB']
2023-05-09 10:21:43,141 INFO used_ofi_trade_8_1: 0.0009088667025950656 , std 0.030133713078742554 
2023-05-09 10:21:43,141 INFO used_ofi_trade_9_1: 0.0010869863076262594 , std 0.032951551835889194 
2023-05-09 10:21:43,142 INFO used_ofi_trade_10_1: 0.0018085990664705829 , std 0.0424891519789151 
2023-05-09 10:21:43,142 INFO used_ofi_add_1_2: 0.01951094750495538 , std 0.13831222083537756 
2023-05-09 10:21:43,142 INFO used_ofi_add_2_2: 0.029914959306521004 , std 0.1703527355700818 
2023-05-09 10:21:43,142 INFO used_ofi_add_3_2: 0.027434986344163616 , std 0.16334720036921102 
2023-05-09 10:21:43,142 INFO used_ofi_add_4_2: 0.024475460599029934 , std 0.15451994184407158 
2023-05-09 10:21:43,142 INFO used_ofi_add_5_2: 0.022269517798258996 , std 0.1475587556714003 
2023-05-09 10:21:43,142 INFO used_ofi_add_6_2: 0.022118801209386446 , std 0.14706991481076642 
2023-05-09 10:21:43,142 INFO used_ofi_add_7_2: 0.020214291586360605 , std 0.1407326330387597 
2023-05-09 10:21:43,142 INFO used_ofi_add_8_2: 0.022191875919142835 , std 0.14730715041141826 
2023-05-09 10:21:43,142 INFO used_ofi_add_9_2: 0.026850388666112515 , std 0.16164604942463398 
2023-05-09 10:21:43,142 INFO used_ofi_add_10_2: 0.03851493921097582 , std 0.19243580401929017 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_1_2: 0.007430784548352622 , std 0.08588112708475935 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_2_2: 0.0162682572595157 , std 0.12650534006615652 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_3_2: 0.0155420773313116 , std 0.12369527542933531 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_4_2: 0.013422910748376371 , std 0.1150770881427641 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_5_2: 0.013363537546699307 , std 0.11482575238567899 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_6_2: 0.013833955990756049 , std 0.11680144542085887 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_7_2: 0.015071658887254856 , std 0.1218380235626017 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_8_2: 0.01689395946180476 , std 0.1288741773805275 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_9_2: 0.017688646930405474 , std 0.1318171411470334 
2023-05-09 10:21:43,142 INFO used_ofi_cancel_10_2: 0.027325374279529035 , std 0.16302974636554118 
2023-05-09 10:21:43,142 INFO used_ofi_trade_1_2: 0.0009819414123514527 , std 0.03132055560513194 
2023-05-09 10:21:43,142 INFO used_ofi_trade_2_2: 0.0016624496469578086 , std 0.04073924285169201 
2023-05-09 10:21:43,142 INFO used_ofi_trade_3_2: 0.001443225517688647 , std 0.03796238424801239 
2023-05-09 10:21:43,142 INFO used_ofi_trade_4_2: 0.0012970760981758725 , std 0.03599157806725642 
