2023-05-09 08:56:06,613 INFO Starting...
2023-05-09 08:56:06,613 INFO Tickers: ['HD']
2023-05-09 08:57:25,703 INFO used_ofi_trade_8_3: 0.004621574349349006 , std 0.06782488776166493 
2023-05-09 08:57:25,703 INFO used_ofi_trade_9_3: 0.003845222927027533 , std 0.061890525831253006 
2023-05-09 08:57:25,703 INFO used_ofi_trade_10_3: 0.002379288770761692 , std 0.048719890760417564 
2023-05-09 08:57:26,385 INFO Grouping by horizont:
2023-05-09 08:57:26,385 INFO 1: 0.26769510396258894
2023-05-09 08:57:26,385 INFO 2: 0.4259703251085751
2023-05-09 08:57:26,385 INFO 3: 0.779872404360355
2023-05-09 08:57:26,385 INFO Grouping by ofi type:
2023-05-09 08:57:26,385 INFO add: 0.8879587894397939
2023-05-09 08:57:26,385 INFO cancel: 0.5248455289008234
2023-05-09 08:57:26,385 INFO trade: 0.060733515090901614
2023-05-09 08:57:26,385 INFO Grouping by ofi type and horizont:
2023-05-09 08:57:26,385 INFO add_1: 0.1696190854580245
2023-05-09 08:57:26,385 INFO cancel_1: 0.0891114429632877
2023-05-09 08:57:26,385 INFO trade_1: 0.008964575541276778
2023-05-09 08:57:26,385 INFO add_2: 0.25936987665145933
2023-05-09 08:57:26,385 INFO cancel_2: 0.1493882807469414
2023-05-09 08:57:26,385 INFO trade_2: 0.017212167710174316
2023-05-09 08:57:26,385 INFO add_3: 0.45896982733031016
2023-05-09 08:57:26,385 INFO cancel_3: 0.2863458051905942
2023-05-09 08:57:26,385 INFO trade_3: 0.03455677183945052
2023-05-09 08:57:26,385 INFO Grouping by level:
2023-05-09 08:57:26,385 INFO 1: 0.07867179971960014
2023-05-09 08:57:26,386 INFO 2: 0.10986285980463345
2023-05-09 08:57:26,386 INFO 3: 0.11450270124627238
2023-05-09 08:57:26,386 INFO 4: 0.13707626054353733
2023-05-09 08:57:26,386 INFO 5: 0.1624035840035073
2023-05-09 08:57:26,386 INFO 6: 0.1760947696748001
2023-05-09 08:57:26,386 INFO 7: 0.17147319532545108
2023-05-09 08:57:26,386 INFO 8: 0.16797961392500446
2023-05-09 08:57:26,386 INFO 9: 0.16577386253099696
2023-05-09 08:57:26,386 INFO 10: 0.18969918665771576
2023-05-09 08:57:26,386 INFO Grouping by level and horizont:
2023-05-09 08:57:26,386 INFO 1_1: 0.01177314098085152
2023-05-09 08:57:26,386 INFO 2_1: 0.01777388079808926
2023-05-09 08:57:26,386 INFO 3_1: 0.01986089609221228
2023-05-09 08:57:26,386 INFO 4_1: 0.02429523274558964
2023-05-09 08:57:26,386 INFO 5_1: 0.030222904193667712
2023-05-09 08:57:26,386 INFO 6_1: 0.03421426385901458
2023-05-09 08:57:26,386 INFO 7_1: 0.033168472825416837
2023-05-09 08:57:26,386 INFO 8_1: 0.03168883834993355
2023-05-09 08:57:26,386 INFO 9_1: 0.030551711854886216
2023-05-09 08:57:26,386 INFO 10_1: 0.03414576226292739
2023-05-09 08:57:26,386 INFO 1_2: 0.021664771455841586
2023-05-09 08:57:26,386 INFO 2_2: 0.029821028163289538
2023-05-09 08:57:26,386 INFO 3_2: 0.03251999104912478
2023-05-09 08:57:26,386 INFO 4_2: 0.040004932114918276
2023-05-09 08:57:26,386 INFO 5_2: 0.04685052495056468
2023-05-09 08:57:26,386 INFO 6_2: 0.05136249674617418
2023-05-09 08:57:26,386 INFO 7_2: 0.0499285300014157
2023-05-09 08:57:26,386 INFO 8_2: 0.04972759198622661
2023-05-09 08:57:26,386 INFO 9_2: 0.050015298689792806
2023-05-09 08:57:26,386 INFO 10_2: 0.054075159951226866
2023-05-09 08:57:26,386 INFO 1_3: 0.045233887282907025
