2023-05-09 09:54:13,173 INFO Starting...
2023-05-09 09:54:13,173 INFO Tickers: ['LMT']
2023-05-09 09:55:33,079 INFO add_1: 0.1650203449740379
2023-05-09 09:55:33,079 INFO cancel_1: 0.09643654697154445
2023-05-09 09:55:33,079 INFO trade_1: 0.0038178222885926565
2023-05-09 09:55:33,079 INFO add_2: 0.2516428966128244
2023-05-09 09:55:33,079 INFO cancel_2: 0.15092271649929445
2023-05-09 09:55:33,079 INFO trade_2: 0.006836459289501445
2023-05-09 09:55:33,079 INFO add_3: 0.4346380604001407
2023-05-09 09:55:33,079 INFO cancel_3: 0.2635667411050678
2023-05-09 09:55:33,079 INFO trade_3: 0.012394222118708699
2023-05-09 09:55:33,079 INFO Grouping by level:
2023-05-09 09:55:33,079 INFO 1: 0.10403565736414991
2023-05-09 09:55:33,079 INFO 2: 0.14651121371127948
2023-05-09 09:55:33,079 INFO 3: 0.13151849771433008
2023-05-09 09:55:33,080 INFO 4: 0.1367291857900289
2023-05-09 09:55:33,080 INFO 5: 0.13449603375758654
2023-05-09 09:55:33,080 INFO 6: 0.1298242249044403
2023-05-09 09:55:33,080 INFO 7: 0.12918944344736563
2023-05-09 09:55:33,080 INFO 8: 0.13480200755344268
2023-05-09 09:55:33,080 INFO 9: 0.1417937371274084
2023-05-09 09:55:33,080 INFO 10: 0.19637580888968045
2023-05-09 09:55:33,080 INFO Grouping by level and horizont:
2023-05-09 09:55:33,080 INFO 1_1: 0.01729893639855142
2023-05-09 09:55:33,080 INFO 2_1: 0.028615400072155017
2023-05-09 09:55:33,080 INFO 3_1: 0.024966548387244093
2023-05-09 09:55:33,080 INFO 4_1: 0.02488891324501194
2023-05-09 09:55:33,080 INFO 5_1: 0.02556479565973887
2023-05-09 09:55:33,080 INFO 6_1: 0.024327200157096992
2023-05-09 09:55:33,080 INFO 7_1: 0.025254255090810283
2023-05-09 09:55:33,080 INFO 8_1: 0.027304736200353473
2023-05-09 09:55:33,080 INFO 9_1: 0.02825005822635667
2023-05-09 09:55:33,080 INFO 10_1: 0.03880387079685623
2023-05-09 09:55:33,080 INFO 1_2: 0.029277582167664507
2023-05-09 09:55:33,080 INFO 2_2: 0.04328387518095838
2023-05-09 09:55:33,080 INFO 3_2: 0.03923771423874176
2023-05-09 09:55:33,080 INFO 4_2: 0.04022413722239728
2023-05-09 09:55:33,080 INFO 5_2: 0.03986336214967142
2023-05-09 09:55:33,080 INFO 6_2: 0.0391189781388573
2023-05-09 09:55:33,080 INFO 7_2: 0.0396030560845401
2023-05-09 09:55:33,080 INFO 8_2: 0.040160202399382575
2023-05-09 09:55:33,080 INFO 9_2: 0.04192297680535957
2023-05-09 09:55:33,080 INFO 10_2: 0.05671018801404739
2023-05-09 09:55:33,080 INFO 1_3: 0.05745913879793399
2023-05-09 09:55:33,080 INFO 2_3: 0.07461193845816608
2023-05-09 09:55:33,080 INFO 3_3: 0.06731423508834423
2023-05-09 09:55:33,080 INFO 4_3: 0.07161613532261968
2023-05-09 09:55:33,080 INFO 5_3: 0.06906787594817626
2023-05-09 09:55:33,080 INFO 6_3: 0.06637804660848598
2023-05-09 09:55:33,080 INFO 7_3: 0.06433213227201527
2023-05-09 09:55:33,080 INFO 8_3: 0.06733706895370663
2023-05-09 09:55:33,080 INFO 9_3: 0.07162070209569217
2023-05-09 09:55:33,080 INFO 10_3: 0.10086175007877683
2023-05-09 09:55:33,091 INFO Non empty regressions: 0.3807227375064506 --- 83368 / 218973
