2023-05-09 10:15:10,075 INFO Starting...
2023-05-09 10:15:10,075 INFO Tickers: ['TJX']
2023-05-09 10:16:28,757 INFO used_ofi_trade_4_1: 0.0028679334895169726 , std 0.0534762418931686 
2023-05-09 10:16:28,757 INFO used_ofi_trade_5_1: 0.002557392920588383 , std 0.05050596659839417 
2023-05-09 10:16:28,757 INFO used_ofi_trade_6_1: 0.0017216734483246792 , std 0.04145731888173683 
2023-05-09 10:16:28,757 INFO used_ofi_trade_7_1: 0.0013837322409612145 , std 0.0371728062708015 
2023-05-09 10:16:28,757 INFO used_ofi_trade_8_1: 0.0007535175569590772 , std 0.027439930179401537 
2023-05-09 10:16:28,757 INFO used_ofi_trade_9_1: 0.0007169833723792431 , std 0.026766944301189376 
2023-05-09 10:16:28,757 INFO used_ofi_trade_10_1: 0.000589113726349824 , std 0.024264514653445063 
2023-05-09 10:16:28,757 INFO used_ofi_add_1_2: 0.06330917510377992 , std 0.2435182199578891 
2023-05-09 10:16:28,757 INFO used_ofi_add_2_2: 0.03624191110319537 , std 0.18689150591394849 
2023-05-09 10:16:28,757 INFO used_ofi_add_3_2: 0.027336703611860823 , std 0.16306258996930625 
2023-05-09 10:16:28,757 INFO used_ofi_add_4_2: 0.026354847401277783 , std 0.16018823121482156 
2023-05-09 10:16:28,757 INFO used_ofi_add_5_2: 0.025678964986550853 , std 0.15817571161139232 
2023-05-09 10:16:28,757 INFO used_ofi_add_6_2: 0.026848058893105542 , std 0.16163922985085605 
2023-05-09 10:16:28,757 INFO used_ofi_add_7_2: 0.020020733149749056 , std 0.14007106551281603 
2023-05-09 10:16:28,757 INFO used_ofi_add_8_2: 0.01691989423353564 , std 0.12897135888507033 
2023-05-09 10:16:28,757 INFO used_ofi_add_9_2: 0.015682298730893763 , std 0.1242431657573517 
2023-05-09 10:16:28,757 INFO used_ofi_add_10_2: 0.018732903143309904 , std 0.13558016626016237 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_1_2: 0.01816205650925 , std 0.13353724653670532 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_2_2: 0.0177875811173067 , std 0.13217860294049844 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_3_2: 0.01558182972329922 , std 0.1238508631611961 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_4_2: 0.015234754969790796 , std 0.12248533467644701 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_5_2: 0.015545295538719386 , std 0.12370787899456226 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_6_2: 0.012380521799491262 , std 0.11057687135863262 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_7_2: 0.008877806852899673 , std 0.09380293917773729 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_8_2: 0.007343371100546643 , std 0.08537825250862363 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_9_2: 0.006366081663036082 , std 0.07953335568989678 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_10_2: 0.006416316166833354 , std 0.0798445179939148 
2023-05-09 10:16:28,757 INFO used_ofi_trade_1_2: 0.0007809181953939527 , std 0.027934000110368284 
2023-05-09 10:16:28,757 INFO used_ofi_trade_2_2: 0.004037027396071662 , std 0.06340922492725352 
2023-05-09 10:16:28,757 INFO used_ofi_trade_3_2: 0.005119352614249245 , std 0.07136627244756605 
2023-05-09 10:16:28,757 INFO used_ofi_trade_4_2: 0.005069118110451973 , std 0.07101705536020389 
2023-05-09 10:16:28,757 INFO used_ofi_trade_5_2: 0.004936681691350075 , std 0.0700878795886162 
2023-05-09 10:16:28,757 INFO used_ofi_trade_6_2: 0.0038132555155201784 , std 0.0616337131600355 
2023-05-09 10:16:28,757 INFO used_ofi_trade_7_2: 0.0024340900476314434 , std 0.04927641680633308 
2023-05-09 10:16:28,757 INFO used_ofi_trade_8_2: 0.0013563316025263388 , std 0.03680342330694696 
2023-05-09 10:16:28,757 INFO used_ofi_trade_9_2: 0.0010503578066702287 , std 0.032392198985993464 
2023-05-09 10:16:28,757 INFO used_ofi_trade_10_2: 0.0009955565298004777 , std 0.031536730918033495 
2023-05-09 10:16:28,757 INFO used_ofi_add_1_3: 0.09199307677202212 , std 0.2890161770524947 
2023-05-09 10:16:28,757 INFO used_ofi_add_2_3: 0.06580719997442606 , std 0.24794477692815384 
2023-05-09 10:16:28,757 INFO used_ofi_add_3_3: 0.04982349422074868 , std 0.21758013154785916 
2023-05-09 10:16:28,757 INFO used_ofi_add_4_3: 0.04925264758668877 , std 0.2163950653143232 
2023-05-09 10:16:28,757 INFO used_ofi_add_5_3: 0.04653541760856361 , std 0.21064157357122124 
2023-05-09 10:16:28,757 INFO used_ofi_add_6_3: 0.04496444767163075 , std 0.20722607489699726 
2023-05-09 10:16:28,757 INFO used_ofi_add_7_3: 0.038794737250711274 , std 0.19310542615980408 
2023-05-09 10:16:28,757 INFO used_ofi_add_8_3: 0.03004480004384102 , std 0.17071060316853967 
2023-05-09 10:16:28,757 INFO used_ofi_add_9_3: 0.03047407671265407 , std 0.17188777548495224 
2023-05-09 10:16:28,757 INFO used_ofi_add_10_3: 0.044329666214556133 , std 0.20582649709855672 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_1_3: 0.0368081909641828 , std 0.18829059467250897 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_2_3: 0.03434670027811648 , std 0.18211810579434906 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_3_3: 0.027747713188383955 , std 0.164249132725866 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_4_3: 0.027880149607485853 , std 0.16462942284218232 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_5_3: 0.027994318934297834 , std 0.16495647014198211 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_6_3: 0.02329510944271668 , std 0.15083914385453312 
2023-05-09 10:16:28,757 INFO used_ofi_cancel_7_3: 0.01638558178405557 , std 0.1269531192750048 
2023-05-09 10:16:28,758 INFO used_ofi_cancel_8_3: 0.013654651486712974 , std 0.1160525828212771 
2023-05-09 10:16:28,758 INFO used_ofi_cancel_9_3: 0.013403478967726614 , std 0.1149948943183493 
2023-05-09 10:16:28,758 INFO used_ofi_cancel_10_3: 0.015289556246660547 , std 0.12270202001776803 
2023-05-09 10:16:28,758 INFO used_ofi_trade_1_3: 0.0013015303256565878 , std 0.03605324318931634 
2023-05-09 10:16:28,758 INFO used_ofi_trade_2_3: 0.00711503244692268 , std 0.08405003724093117 
2023-05-09 10:16:28,758 INFO used_ofi_trade_3_3: 0.009439519940814621 , std 0.09669754600868415 
2023-05-09 10:16:28,758 INFO used_ofi_trade_4_3: 0.009676992140583542 , std 0.09789457576237116 
2023-05-09 10:16:28,758 INFO used_ofi_trade_5_3: 0.008320660538057204 , std 0.09083736646483989 
2023-05-09 10:16:28,758 INFO used_ofi_trade_6_3: 0.006667488685819713 , std 0.0813820206215364 
2023-05-09 10:16:28,758 INFO used_ofi_trade_7_3: 0.0041055289921588505 , std 0.06394273706882896 
2023-05-09 10:16:28,758 INFO used_ofi_trade_8_3: 0.0029547021778940784 , std 0.05427680824195567 
2023-05-09 10:16:28,758 INFO used_ofi_trade_9_3: 0.0022925200823845863 , std 0.04782535346504455 
2023-05-09 10:16:28,758 INFO used_ofi_trade_10_3: 0.0020459143364707066 , std 0.0451854907132647 
2023-05-09 10:16:29,450 INFO Grouping by horizont:
2023-05-09 10:16:29,450 INFO 1: 0.276403940211807
2023-05-09 10:16:29,450 INFO 2: 0.4304137953080975
2023-05-09 10:16:29,450 INFO 3: 0.7827449046229445
