2023-05-09 09:28:12,233 INFO Starting...
2023-05-09 09:28:12,233 INFO Tickers: ['COST']
2023-05-09 09:29:32,138 INFO 1: 0.07784064702040891
2023-05-09 09:29:32,138 INFO 2: 0.13799418193110563
2023-05-09 09:29:32,138 INFO 3: 0.12317957008398295
2023-05-09 09:29:32,138 INFO 4: 0.13904453973777592
2023-05-09 09:29:32,138 INFO 5: 0.14146949623926236
2023-05-09 09:29:32,138 INFO 6: 0.15517438222977264
2023-05-09 09:29:32,138 INFO 7: 0.1560192352481813
2023-05-09 09:29:32,138 INFO 8: 0.16336717312180038
2023-05-09 09:29:32,138 INFO 9: 0.17104848542971052
2023-05-09 09:29:32,138 INFO 10: 0.22731569645572744
2023-05-09 09:29:32,138 INFO Grouping by level and horizont:
2023-05-09 09:29:32,138 INFO 1_1: 0.01085065282021071
2023-05-09 09:29:32,138 INFO 2_1: 0.02496198161417161
2023-05-09 09:29:32,138 INFO 3_1: 0.022368054509003393
2023-05-09 09:29:32,138 INFO 4_1: 0.025222287679302926
2023-05-09 09:29:32,138 INFO 5_1: 0.027144899142816693
2023-05-09 09:29:32,138 INFO 6_1: 0.029515054367433426
2023-05-09 09:29:32,138 INFO 7_1: 0.029291282486881946
2023-05-09 09:29:32,138 INFO 8_1: 0.0318760760459052
2023-05-09 09:29:32,138 INFO 9_1: 0.03236015399158801
2023-05-09 09:29:32,138 INFO 10_1: 0.04379078699200358
2023-05-09 09:29:32,138 INFO 1_2: 0.021746973371146214
2023-05-09 09:29:32,138 INFO 2_2: 0.039415818388568453
2023-05-09 09:29:32,138 INFO 3_2: 0.03686299224105255
2023-05-09 09:29:32,138 INFO 4_2: 0.03999579856877331
2023-05-09 09:29:32,138 INFO 5_2: 0.04091828672941413
2023-05-09 09:29:32,138 INFO 6_2: 0.04631164572801213
2023-05-09 09:29:32,138 INFO 7_2: 0.04767254410361094
2023-05-09 09:29:32,138 INFO 8_2: 0.049974197732140485
2023-05-09 09:29:32,138 INFO 9_2: 0.05208404689162591
2023-05-09 09:29:32,138 INFO 10_2: 0.06531398848259831
2023-05-09 09:29:32,138 INFO 1_3: 0.04524302082905198
2023-05-09 09:29:32,138 INFO 2_3: 0.0736163819283656
2023-05-09 09:29:32,138 INFO 3_3: 0.063948523333927
2023-05-09 09:29:32,138 INFO 4_3: 0.07382645348969964
2023-05-09 09:29:32,138 INFO 5_3: 0.07340631036703156
2023-05-09 09:29:32,138 INFO 6_3: 0.07934768213432707
2023-05-09 09:29:32,138 INFO 7_3: 0.0790554086576884
2023-05-09 09:29:32,138 INFO 8_3: 0.08151689934375471
2023-05-09 09:29:32,139 INFO 9_3: 0.0866042845464966
2023-05-09 09:29:32,139 INFO 10_3: 0.11821092098112551
2023-05-09 09:29:32,149 INFO Non empty regressions: 0.39274248423321595 --- 86000 / 218973
