2023-05-09 10:04:26,913 INFO Starting...
2023-05-09 10:04:26,913 INFO Tickers: ['GILD']
2023-05-09 10:05:47,512 INFO trade: 0.15551689021020856
2023-05-09 10:05:47,512 INFO Grouping by ofi type and horizont:
2023-05-09 10:05:47,512 INFO add_1: 0.182058975307458
2023-05-09 10:05:47,512 INFO cancel_1: 0.07194494298383819
2023-05-09 10:05:47,512 INFO trade_1: 0.025802267859507795
2023-05-09 10:05:47,512 INFO add_2: 0.29068423960944956
2023-05-09 10:05:47,512 INFO cancel_2: 0.11743913633187653
2023-05-09 10:05:47,512 INFO trade_2: 0.04558552880948793
2023-05-09 10:05:47,512 INFO add_3: 0.5261516259995525
2023-05-09 10:05:47,512 INFO cancel_3: 0.2190635375137574
2023-05-09 10:05:47,512 INFO trade_3: 0.08412909354121283
2023-05-09 10:05:47,512 INFO Grouping by level:
2023-05-09 10:05:47,512 INFO 1: 0.16546332196206837
2023-05-09 10:05:47,512 INFO 2: 0.1785105926301416
2023-05-09 10:05:47,512 INFO 3: 0.17297566366629677
2023-05-09 10:05:47,512 INFO 4: 0.19153502943285242
2023-05-09 10:05:47,512 INFO 5: 0.2067834847218607
2023-05-09 10:05:47,512 INFO 6: 0.16389235202513552
2023-05-09 10:05:47,513 INFO 7: 0.12161773369319505
2023-05-09 10:05:47,513 INFO 8: 0.11088125019979632
2023-05-09 10:05:47,513 INFO 9: 0.11045654030405573
2023-05-09 10:05:47,513 INFO 10: 0.1407433793207382
2023-05-09 10:05:47,513 INFO Grouping by level and horizont:
2023-05-09 10:05:47,513 INFO 1_1: 0.02889854000264873
2023-05-09 10:05:47,513 INFO 2_1: 0.031419398738657275
2023-05-09 10:05:47,513 INFO 3_1: 0.029405451813693927
2023-05-09 10:05:47,513 INFO 4_1: 0.03587200248432455
2023-05-09 10:05:47,513 INFO 5_1: 0.038813004343001195
2023-05-09 10:05:47,513 INFO 6_1: 0.030711548912422993
2023-05-09 10:05:47,513 INFO 7_1: 0.022856699227758674
2023-05-09 10:05:47,513 INFO 8_1: 0.01913477917368808
2023-05-09 10:05:47,513 INFO 9_1: 0.018422362574381314
2023-05-09 10:05:47,513 INFO 10_1: 0.024272398880227242
2023-05-09 10:05:47,513 INFO 1_2: 0.04881423737173076
2023-05-09 10:05:47,513 INFO 2_2: 0.052947167002324484
2023-05-09 10:05:47,513 INFO 3_2: 0.05059984564307015
2023-05-09 10:05:47,513 INFO 4_2: 0.0564453151758436
2023-05-09 10:05:47,513 INFO 5_2: 0.0605828115795098
2023-05-09 10:05:47,513 INFO 6_2: 0.049554054609472396
2023-05-09 10:05:47,513 INFO 7_2: 0.035812634434382325
