2023-05-09 09:13:21,105 INFO Starting...
2023-05-09 09:13:21,105 INFO Tickers: ['MDT']
2023-05-09 09:14:40,544 INFO used_ofi_trade_7_3: 0.00423339863818827 , std 0.06492670463036343 
2023-05-09 09:14:40,544 INFO used_ofi_trade_8_3: 0.0024066894091965677 , std 0.04899895157331665 
2023-05-09 09:14:40,544 INFO used_ofi_trade_9_3: 0.002557392920588383 , std 0.050505966598394174 
2023-05-09 09:14:40,544 INFO used_ofi_trade_10_3: 0.002310787174674503 , std 0.04801507510467794 
2023-05-09 09:14:41,231 INFO Grouping by horizont:
2023-05-09 09:14:41,231 INFO 1: 0.2718919684161974
2023-05-09 09:14:41,231 INFO 2: 0.43910436446502543
2023-05-09 09:14:41,231 INFO 3: 0.8012723029779928
2023-05-09 09:14:41,231 INFO Grouping by ofi type:
2023-05-09 09:14:41,231 INFO add: 0.9295209911724276
2023-05-09 09:14:41,231 INFO cancel: 0.486393299630548
2023-05-09 09:14:41,231 INFO trade: 0.09635434505623981
2023-05-09 09:14:41,231 INFO Grouping by ofi type and horizont:
2023-05-09 09:14:41,231 INFO add_1: 0.173797682819343
2023-05-09 09:14:41,231 INFO cancel_1: 0.08190507505491545
2023-05-09 09:14:41,231 INFO trade_1: 0.01618921054193896
2023-05-09 09:14:41,232 INFO add_2: 0.2710653824900787
2023-05-09 09:14:41,232 INFO cancel_2: 0.14006293013293875
2023-05-09 09:14:41,232 INFO trade_2: 0.02797605184200792
2023-05-09 09:14:41,232 INFO add_3: 0.48465792586300593
2023-05-09 09:14:41,232 INFO cancel_3: 0.26442529444269386
2023-05-09 09:14:41,232 INFO trade_3: 0.05218908267229294
2023-05-09 09:14:41,232 INFO Grouping by level:
2023-05-09 09:14:41,232 INFO 1: 0.15821128632297132
2023-05-09 09:14:41,232 INFO 2: 0.16054034058993577
2023-05-09 09:14:41,232 INFO 3: 0.1719572732711339
2023-05-09 09:14:41,232 INFO 4: 0.18871733044713276
2023-05-09 09:14:41,232 INFO 5: 0.2018468030305106
2023-05-09 09:14:41,232 INFO 6: 0.1857626282692387
2023-05-09 09:14:41,232 INFO 7: 0.12868709840939294
2023-05-09 09:14:41,232 INFO 8: 0.10129559352066236
2023-05-09 09:14:41,232 INFO 9: 0.09372388376649175
2023-05-09 09:14:41,232 INFO 10: 0.12152639823174546
2023-05-09 09:14:41,232 INFO Grouping by level and horizont:
2023-05-09 09:14:41,232 INFO 1_1: 0.030451242847291674
2023-05-09 09:14:41,232 INFO 2_1: 0.02798975216122536
2023-05-09 09:14:41,232 INFO 3_1: 0.029021842875605667
2023-05-09 09:14:41,232 INFO 4_1: 0.03620537691861553
2023-05-09 09:14:41,232 INFO 5_1: 0.038525297639435
2023-05-09 09:14:41,232 INFO 6_1: 0.0354427258155115
2023-05-09 09:14:41,232 INFO 7_1: 0.024007526042023445
2023-05-09 09:14:41,232 INFO 8_1: 0.017394838633073482
